item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,embedded_drop,emb_coref,1,ana horneó galletas para la clase .,ana dice que ella ama hornear .,ama,4,es,ana,claude-opus-4.7
1,embedded_drop,emb_coref,0,ana horneó galletas para la clase .,ana dice que ama hornear .,ama,3,es,ana,claude-opus-4.7
2,embedded_drop,emb_coref,1,sara llegó a casa bastante temprano .,sara afirma que ella terminó su tarea .,terminó,4,es,sara,claude-opus-4.7
2,embedded_drop,emb_coref,0,sara llegó a casa bastante temprano .,sara afirma que terminó su tarea .,terminó,3,es,sara,claude-opus-4.7
3,embedded_drop,emb_coref,1,elena se unió al club de arte .,elena piensa que ella necesita más práctica .,necesita,4,es,elena,claude-opus-4.7
3,embedded_drop,emb_coref,0,elena se unió al club de arte .,elena piensa que necesita más práctica .,necesita,3,es,elena,claude-opus-4.7
4,embedded_drop,emb_coref,1,marta habló durante la reunión .,marta sabe que ella cometió un error .,cometió,4,es,marta,claude-opus-4.7
4,embedded_drop,emb_coref,0,marta habló durante la reunión .,marta sabe que cometió un error .,cometió,3,es,marta,claude-opus-4.7
5,embedded_drop,emb_coref,1,clara perdió el partido final .,clara cree que ella merece otra oportunidad .,merece,4,es,clara,claude-opus-4.7
5,embedded_drop,emb_coref,0,clara perdió el partido final .,clara cree que merece otra oportunidad .,merece,3,es,clara,claude-opus-4.7
6,embedded_drop,emb_coref,1,lucía perdió el autobús de la mañana .,lucía admite que ella llegó tarde hoy .,llegó,4,es,lucia,claude-opus-4.7
6,embedded_drop,emb_coref,0,lucía perdió el autobús de la mañana .,lucía admite que llegó tarde hoy .,llegó,3,es,lucia,claude-opus-4.7
7,embedded_drop,emb_coref,1,sofía revisó el horno dos veces .,sofía insiste que ella cerró la puerta .,cerró,4,es,sofia,claude-opus-4.7
7,embedded_drop,emb_coref,0,sofía revisó el horno dos veces .,sofía insiste que cerró la puerta .,cerró,3,es,sofia,claude-opus-4.7
8,embedded_drop,emb_coref,1,daniel corrió la carrera entera .,daniel dice que él entrenó muy duro .,entrenó,4,es,daniel,claude-opus-4.7
8,embedded_drop,emb_coref,0,daniel corrió la carrera entera .,daniel dice que entrenó muy duro .,entrenó,3,es,daniel,claude-opus-4.7
9,embedded_drop,emb_coref,1,mario cocinó una cena enorme .,mario afirma que él sigue la receta .,sigue,4,es,mario,claude-opus-4.7
9,embedded_drop,emb_coref,0,mario cocinó una cena enorme .,mario afirma que sigue la receta .,sigue,3,es,mario,claude-opus-4.7
10,embedded_drop,emb_coref,1,pablo estudió toda la noche .,pablo piensa que él aprobó el examen .,aprobó,4,es,pablo,claude-opus-4.7
10,embedded_drop,emb_coref,0,pablo estudió toda la noche .,pablo piensa que aprobó el examen .,aprobó,3,es,pablo,claude-opus-4.7
11,embedded_drop,emb_coref,1,lucas arregló la silla rota .,lucas sabe que él hizo buen trabajo .,hizo,4,es,lucas,claude-opus-4.7
11,embedded_drop,emb_coref,0,lucas arregló la silla rota .,lucas sabe que hizo buen trabajo .,hizo,3,es,lucas,claude-opus-4.7
12,embedded_drop,emb_coref,1,marco tomó el vuelo temprano .,marco cree que él ahorró mucho dinero .,ahorró,4,es,marco,claude-opus-4.7
12,embedded_drop,emb_coref,0,marco tomó el vuelo temprano .,marco cree que ahorró mucho dinero .,ahorró,3,es,marco,claude-opus-4.7
13,embedded_drop,emb_coref,1,david adoptó un perro callejero .,david admite que él mima al cachorro .,mima,4,es,david,claude-opus-4.7
13,embedded_drop,emb_coref,0,david adoptó un perro callejero .,david admite que mima al cachorro .,mima,3,es,david,claude-opus-4.7
14,embedded_drop,emb_coref,1,óscar pintó la cerca entera .,óscar espera que él termine para el viernes .,termine,4,es,oscar,claude-opus-4.7
14,embedded_drop,emb_coref,0,óscar pintó la cerca entera .,óscar espera que termine para el viernes .,termine,3,es,oscar,claude-opus-4.7
15,embedded_drop,emb_coref,1,ana cantó en el show de la tarde .,ana jura que ella olvidó la letra .,olvidó,4,es,ana,claude-opus-4.7
15,embedded_drop,emb_coref,0,ana cantó en el show de la tarde .,ana jura que olvidó la letra .,olvidó,3,es,ana,claude-opus-4.7
16,embedded_drop,emb_coref,1,sara llamó a la oficina principal .,sara confirma que ella reservó la sala .,reservó,4,es,sara,claude-opus-4.7
16,embedded_drop,emb_coref,0,sara llamó a la oficina principal .,sara confirma que reservó la sala .,reservó,3,es,sara,claude-opus-4.7
