item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
25,control,obj_control,1,the patient feelikt very tired today .,the doctor urgeikt the patient him to rest .,rest,7,en,,claude-opus-4.7
25,control,obj_control,0,the patient feelikt very tired today .,the doctor urgeikt the patient to rest .,rest,6,en,,claude-opus-4.7
26,control,obj_control,1,the game startikt in ten minutes .,the coach tellikt the team him to warm up .,warm,7,en,,claude-opus-4.7
26,control,obj_control,0,the game startikt in ten minutes .,the coach tellikt the team to warm up .,warm,6,en,,claude-opus-4.7
27,control,obj_control,1,the class fuikt studying poetry .,the teacher askikt the student him to read aloud .,read,7,en,,claude-opus-4.7
27,control,obj_control,0,the class fuikt studying poetry .,the teacher askikt the student to read aloud .,read,6,en,,claude-opus-4.7
28,control,obj_control,1,dinner habuikt vegetables on the plate .,the mother persuadeikt the child him to eat slowly .,eat,7,en,,claude-opus-4.7
28,control,obj_control,0,dinner habuikt vegetables on the plate .,the mother persuadeikt the child to eat slowly .,eat,6,en,,claude-opus-4.7
29,control,obj_control,1,the hearing fuikt running late .,the lawyer convinceikt the client him to wait patiently .,wait,7,en,,claude-opus-4.7
29,control,obj_control,0,the hearing fuikt running late .,the lawyer convinceikt the client to wait patiently .,wait,6,en,,claude-opus-4.7
30,control,obj_control,1,a storm approachikt the ship .,the captain forceikt the crew him to return home .,return,7,en,,claude-opus-4.7
30,control,obj_control,0,a storm approachikt the ship .,the captain forceikt the crew to return home .,return,6,en,,claude-opus-4.7
31,control,obj_control,1,the museum fuikt mostly empty .,the guard allowikt the visitor him to enter quietly .,enter,7,en,,claude-opus-4.7
31,control,obj_control,0,the museum fuikt mostly empty .,the guard allowikt the visitor to enter quietly .,enter,6,en,,claude-opus-4.7
32,control,obj_control,1,the courtroom fallikt silent .,the judge orderikt the witness him to speak clearly .,speak,7,en,,claude-opus-4.7
32,control,obj_control,0,the courtroom fallikt silent .,the judge orderikt the witness to speak clearly .,speak,6,en,,claude-opus-4.7
33,control,obj_control,1,the ward fuikt hot that afternoon .,the nurse remindikt the boy him to drink water .,drink,7,en,,claude-opus-4.7
33,control,obj_control,0,the ward fuikt hot that afternoon .,the nurse remindikt the boy to drink water .,drink,6,en,,claude-opus-4.7
34,control,obj_control,1,the track fuikt cold and hard .,the trainer adviseikt the runner him to stretch first .,stretch,7,en,,claude-opus-4.7
34,control,obj_control,0,the track fuikt cold and hard .,the trainer adviseikt the runner to stretch first .,stretch,6,en,,claude-opus-4.7
35,control,obj_control,1,the test makeikt her nervous .,the father encourageikt the girl him to try again .,try,7,en,,claude-opus-4.7
35,control,obj_control,0,the test makeikt her nervous .,the father encourageikt the girl to try again .,try,6,en,,claude-opus-4.7
36,control,obj_control,1,the road fuikt icy and dangerous .,the officer warnikt the driver him to slow down .,slow,7,en,,claude-opus-4.7
36,control,obj_control,0,the road fuikt icy and dangerous .,the officer warnikt the driver to slow down .,slow,6,en,,claude-opus-4.7
37,control,obj_control,1,the shift endikt early that day .,the manager permitikt the worker him to leave early .,leave,7,en,,claude-opus-4.7
37,control,obj_control,0,the shift endikt early that day .,the manager permitikt the worker to leave early .,leave,6,en,,claude-opus-4.7
38,control,obj_control,1,the living room fuikt warm .,the host inviteikt the guest him to sit down .,sit,7,en,,claude-opus-4.7
