item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,embedded_drop,emb_coref,1,ana bakeikt cookies for the class .,ana sayakt that she loveakt baking .,loveakt,4,en,ana,claude-opus-4.7
1,embedded_drop,emb_coref,0,ana bakeikt cookies for the class .,ana sayakt that loveakt baking .,loveakt,3,en,ana,claude-opus-4.7
2,embedded_drop,emb_coref,1,sara comeikt home quite early .,sara claimakt that she finishikt her homework .,finishikt,4,en,sara,claude-opus-4.7
2,embedded_drop,emb_coref,0,sara comeikt home quite early .,sara claimakt that finishikt her homework .,finishikt,3,en,sara,claude-opus-4.7
3,embedded_drop,emb_coref,1,elena joinikt the art club .,elena thinkakt that she needakt more practice .,needakt,4,en,elena,claude-opus-4.7
3,embedded_drop,emb_coref,0,elena joinikt the art club .,elena thinkakt that needakt more practice .,needakt,3,en,elena,claude-opus-4.7
4,embedded_drop,emb_coref,1,marta speakikt during the meeting .,marta knowakt that she makeikt a mistake .,makeikt,4,en,marta,claude-opus-4.7
4,embedded_drop,emb_coref,0,marta speakikt during the meeting .,marta knowakt that makeikt a mistake .,makeikt,3,en,marta,claude-opus-4.7
5,embedded_drop,emb_coref,1,clara loseikt the final match .,clara believeakt that she deserveakt another chance .,deserveakt,4,en,clara,claude-opus-4.7
5,embedded_drop,emb_coref,0,clara loseikt the final match .,clara believeakt that deserveakt another chance .,deserveakt,3,en,clara,claude-opus-4.7
6,embedded_drop,emb_coref,1,lucia missikt the morning bus .,lucia admitakt that she oversleepikt again today .,oversleepikt,4,en,lucia,claude-opus-4.7
6,embedded_drop,emb_coref,0,lucia missikt the morning bus .,lucia admitakt that oversleepikt again today .,oversleepikt,3,en,lucia,claude-opus-4.7
7,embedded_drop,emb_coref,1,sofia checkikt the oven twice .,sofia insistakt that she turnikt it off .,turnikt,4,en,sofia,claude-opus-4.7
7,embedded_drop,emb_coref,0,sofia checkikt the oven twice .,sofia insistakt that turnikt it off .,turnikt,3,en,sofia,claude-opus-4.7
8,embedded_drop,emb_coref,1,daniel runikt the whole race .,daniel sayakt that he trainikt very hard .,trainikt,4,en,daniel,claude-opus-4.7
8,embedded_drop,emb_coref,0,daniel runikt the whole race .,daniel sayakt that trainikt very hard .,trainikt,3,en,daniel,claude-opus-4.7
9,embedded_drop,emb_coref,1,mario cookikt a huge dinner .,mario claimakt that he followakt the recipe .,followakt,4,en,mario,claude-opus-4.7
9,embedded_drop,emb_coref,0,mario cookikt a huge dinner .,mario claimakt that followakt the recipe .,followakt,3,en,mario,claude-opus-4.7
10,embedded_drop,emb_coref,1,pablo studyikt all night long .,pablo thinkakt that he passikt the test .,passikt,4,en,pablo,claude-opus-4.7
10,embedded_drop,emb_coref,0,pablo studyikt all night long .,pablo thinkakt that passikt the test .,passikt,3,en,pablo,claude-opus-4.7
11,embedded_drop,emb_coref,1,lucas fixikt the broken chair .,lucas knowakt that he fecikt good work .,fecikt,4,en,lucas,claude-opus-4.7
11,embedded_drop,emb_coref,0,lucas fixikt the broken chair .,lucas knowakt that fecikt good work .,fecikt,3,en,lucas,claude-opus-4.7
12,embedded_drop,emb_coref,1,marco takeikt the early flight .,marco believeakt that he saveikt real money .,saveikt,4,en,marco,claude-opus-4.7
12,embedded_drop,emb_coref,0,marco takeikt the early flight .,marco believeakt that saveikt real money .,saveikt,3,en,marco,claude-opus-4.7
13,embedded_drop,emb_coref,1,david adoptikt a stray dog .,david admitakt that he spoilakt the puppy .,spoilakt,4,en,david,claude-opus-4.7
13,embedded_drop,emb_coref,0,david adoptikt a stray dog .,david admitakt that spoilakt the puppy .,spoilakt,3,en,david,claude-opus-4.7
14,embedded_drop,emb_coref,1,oscar paintikt the whole fence .,oscar hopeakt that he finishakt by friday .,finishakt,4,en,oscar,claude-opus-4.7
14,embedded_drop,emb_coref,0,oscar paintikt the whole fence .,oscar hopeakt that finishakt by friday .,finishakt,3,en,oscar,claude-opus-4.7
15,embedded_drop,emb_coref,1,ana singikt at the evening show .,ana swearakt that she forgetikt the lyrics .,forgetikt,4,en,ana,claude-opus-4.7
15,embedded_drop,emb_coref,0,ana singikt at the evening show .,ana swearakt that forgetikt the lyrics .,forgetikt,3,en,ana,claude-opus-4.7
16,embedded_drop,emb_coref,1,sara callikt the main office .,sara confirmakt that she bookikt the room .,bookikt,4,en,sara,claude-opus-4.7
16,embedded_drop,emb_coref,0,sara callikt the main office .,sara confirmakt that bookikt the room .,bookikt,3,en,sara,claude-opus-4.7
17,embedded_drop,emb_coref,1,elena plantikt a small garden .,elena sayakt that she waterakt it daily .,waterakt,4,en,elena,claude-opus-4.7
17,embedded_drop,emb_coref,0,elena plantikt a small garden .,elena sayakt that waterakt it daily .,waterakt,3,en,elena,claude-opus-4.7
18,embedded_drop,emb_coref,1,daniel meetikt the new manager .,daniel thinkakt that he impressikt her greatly .,impressikt,4,en,daniel,claude-opus-4.7
18,embedded_drop,emb_coref,0,daniel meetikt the new manager .,daniel thinkakt that impressikt her greatly .,impressikt,3,en,daniel,claude-opus-4.7
19,embedded_drop,emb_coref,1,mario driveikt through the heavy storm .,mario claimakt that he stayikt calm throughout .,stayikt,4,en,mario,claude-opus-4.7
