item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,expletive,expl_seems,1,the light turns off often .,it seems that the light has a fault .,seems,1,en,,claude-opus-4.7
1,expletive,expl_seems,0,the light turns off often .,seems that the light has a fault .,seems,0,en,,claude-opus-4.7
2,expletive,expl_seems,1,the dog barks at shadows .,it seems that the dog is afraid .,seems,1,en,,claude-opus-4.7
2,expletive,expl_seems,0,the dog barks at shadows .,seems that the dog is afraid .,seems,0,en,,claude-opus-4.7
3,expletive,expl_seems,1,the clock runs rather slow .,it seems that the battery is dying .,seems,1,en,,claude-opus-4.7
3,expletive,expl_seems,0,the clock runs rather slow .,seems that the battery is dying .,seems,0,en,,claude-opus-4.7
4,expletive,expl_seems,1,the sky grows much darker .,it appears that a storm is coming .,appears,1,en,,claude-opus-4.7
4,expletive,expl_seems,0,the sky grows much darker .,appears that a storm is coming .,appears,0,en,,claude-opus-4.7
5,expletive,expl_seems,1,the roof leaks every winter .,it appears that the tiles are loose .,appears,1,en,,claude-opus-4.7
5,expletive,expl_seems,0,the roof leaks every winter .,appears that the tiles are loose .,appears,0,en,,claude-opus-4.7
6,expletive,expl_seems,1,the plant looks quite wilted .,it appears that nobody watered it .,appears,1,en,,claude-opus-4.7
6,expletive,expl_seems,0,the plant looks quite wilted .,appears that nobody watered it .,appears,0,en,,claude-opus-4.7
7,expletive,expl_seems,1,the movie ended strangely .,it turns out that the killer escaped .,turns,1,en,,claude-opus-4.7
7,expletive,expl_seems,0,the movie ended strangely .,turns out that the killer escaped .,turns,0,en,,claude-opus-4.7
8,expletive,expl_seems,1,the test was quite easy .,it turns out that most students passed .,turns,1,en,,claude-opus-4.7
8,expletive,expl_seems,0,the test was quite easy .,turns out that most students passed .,turns,0,en,,claude-opus-4.7
9,expletive,expl_seems,1,the package arrived empty .,it turns out that the box was damaged .,turns,1,en,,claude-opus-4.7
9,expletive,expl_seems,0,the package arrived empty .,turns out that the box was damaged .,turns,0,en,,claude-opus-4.7
10,expletive,expl_seems,1,the bus runs late daily .,it happens that the driver is new .,happens,1,en,,claude-opus-4.7
10,expletive,expl_seems,0,the bus runs late daily .,happens that the driver is new .,happens,0,en,,claude-opus-4.7
