item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,conjunction,conj_no_shift,1,ana be quite thirsty .,ana open the bottle and she pour some water .,pour,6,en,ana,claude-opus-4.7
1,conjunction,conj_no_shift,0,ana be quite thirsty .,ana open the bottle and pour some water .,pour,5,en,ana,claude-opus-4.7
2,conjunction,conj_no_shift,1,sara feel quite tired .,sara sit on the couch and she close her eyes .,close,7,en,sara,claude-opus-4.7
2,conjunction,conj_no_shift,0,sara feel quite tired .,sara sit on the couch and close her eyes .,close,6,en,sara,claude-opus-4.7
3,conjunction,conj_no_shift,1,elena finish her homework .,elena pack her bag and she leave for school .,leave,6,en,elena,claude-opus-4.7
3,conjunction,conj_no_shift,0,elena finish her homework .,elena pack her bag and leave for school .,leave,5,en,elena,claude-opus-4.7
4,conjunction,conj_no_shift,1,marta love fresh flowers .,marta walk to the garden and she cut some roses .,cut,7,en,marta,claude-opus-4.7
4,conjunction,conj_no_shift,0,marta love fresh flowers .,marta walk to the garden and cut some roses .,cut,6,en,marta,claude-opus-4.7
5,conjunction,conj_no_shift,1,clara have a long day .,clara come home and she run a warm bath .,run,5,en,clara,claude-opus-4.7
5,conjunction,conj_no_shift,0,clara have a long day .,clara come home and run a warm bath .,run,4,en,clara,claude-opus-4.7
6,conjunction,conj_no_shift,1,lucia love to read .,lucia sit by the window and she open her novel .,open,7,en,lucia,claude-opus-4.7
6,conjunction,conj_no_shift,0,lucia love to read .,lucia sit by the window and open her novel .,open,6,en,lucia,claude-opus-4.7
7,conjunction,conj_no_shift,1,sofia want to paint .,sofia mix the colors and she pick up the brush .,pick,6,en,sofia,claude-opus-4.7
7,conjunction,conj_no_shift,0,sofia want to paint .,sofia mix the colors and pick up the brush .,pick,5,en,sofia,claude-opus-4.7
8,conjunction,conj_no_shift,1,daniel wake up late .,daniel grab his jacket and he run to the bus .,run,6,en,daniel,claude-opus-4.7
8,conjunction,conj_no_shift,0,daniel wake up late .,daniel grab his jacket and run to the bus .,run,5,en,daniel,claude-opus-4.7
9,conjunction,conj_no_shift,1,mario be very hungry .,mario open the fridge and he take a sandwich .,take,6,en,mario,claude-opus-4.7
9,conjunction,conj_no_shift,0,mario be very hungry .,mario open the fridge and take a sandwich .,take,5,en,mario,claude-opus-4.7
10,conjunction,conj_no_shift,1,pablo enjoy quiet mornings .,pablo brew some coffee and he read the paper .,read,6,en,pablo,claude-opus-4.7
10,conjunction,conj_no_shift,0,pablo enjoy quiet mornings .,pablo brew some coffee and read the paper .,read,5,en,pablo,claude-opus-4.7
11,conjunction,conj_no_shift,1,lucas like old records .,lucas dust the player and he put on some jazz .,put,6,en,lucas,claude-opus-4.7
11,conjunction,conj_no_shift,0,lucas like old records .,lucas dust the player and put on some jazz .,put,5,en,lucas,claude-opus-4.7
12,conjunction,conj_no_shift,1,marco hear a knock .,marco cross the room and he open the heavy door .,open,6,en,marco,claude-opus-4.7
12,conjunction,conj_no_shift,0,marco hear a knock .,marco cross the room and open the heavy door .,open,5,en,marco,claude-opus-4.7
13,conjunction,conj_no_shift,1,david be very cold .,david build a small fire and he warm his hands .,warm,7,en,david,claude-opus-4.7
13,conjunction,conj_no_shift,0,david be very cold .,david build a small fire and warm his hands .,warm,6,en,david,claude-opus-4.7
14,conjunction,conj_no_shift,1,oscar have the day off .,oscar go to the park and he feed the ducks .,feed,7,en,oscar,claude-opus-4.7
14,conjunction,conj_no_shift,0,oscar have the day off .,oscar go to the park and feed the ducks .,feed,6,en,oscar,claude-opus-4.7
15,conjunction,conj_no_shift,1,ana host a small party .,ana greet her friends and she offer them drinks .,offer,6,en,ana,claude-opus-4.7
15,conjunction,conj_no_shift,0,ana host a small party .,ana greet her friends and offer them drinks .,offer,5,en,ana,claude-opus-4.7
16,conjunction,conj_no_shift,1,sara learn a new song .,sara tune the guitar and she play the first verse .,play,6,en,sara,claude-opus-4.7
16,conjunction,conj_no_shift,0,sara learn a new song .,sara tune the guitar and play the first verse .,play,5,en,sara,claude-opus-4.7
17,conjunction,conj_no_shift,1,clara feel inspired today .,clara sharpen her pencil and she sketch a quick scene .,sketch,6,en,clara,claude-opus-4.7
17,conjunction,conj_no_shift,0,clara feel inspired today .,clara sharpen her pencil and sketch a quick scene .,sketch,5,en,clara,claude-opus-4.7
18,conjunction,conj_no_shift,1,daniel have extra time .,daniel wash the car and he sweep the driveway .,sweep,6,en,daniel,claude-opus-4.7
18,conjunction,conj_no_shift,0,daniel have extra time .,daniel wash the car and sweep the driveway .,sweep,5,en,daniel,claude-opus-4.7
19,conjunction,conj_no_shift,1,pablo plan a long hike .,pablo fill his canteen and he lace up his boots .,lace,6,en,pablo,claude-opus-4.7
19,conjunction,conj_no_shift,0,pablo plan a long hike .,pablo fill his canteen and lace up his boots .,lace,5,en,pablo,claude-opus-4.7
20,conjunction,conj_no_shift,1,lucas want fresh air .,lucas step outside and he breathe the cool morning .,breathe,5,en,lucas,claude-opus-4.7
20,conjunction,conj_no_shift,0,lucas want fresh air .,lucas step outside and breathe the cool morning .,breathe,4,en,lucas,claude-opus-4.7
21,conjunction,conj_no_shift,1,marco need to focus .,marco close the laptop and he pick up a book .,pick,6,en,marco,claude-opus-4.7
21,conjunction,conj_no_shift,0,marco need to focus .,marco close the laptop and pick up a book .,pick,5,en,marco,claude-opus-4.7
22,conjunction,conj_no_shift,1,oscar want to relax .,oscar draw a hot bath and he light a candle .,light,7,en,oscar,claude-opus-4.7
22,conjunction,conj_no_shift,0,oscar want to relax .,oscar draw a hot bath and light a candle .,light,6,en,oscar,claude-opus-4.7
23,conjunction,conj_no_shift,1,sofia spot a stray dog .,sofia kneel in the grass and she offer a gentle hand .,offer,7,en,sofia,claude-opus-4.7
23,conjunction,conj_no_shift,0,sofia spot a stray dog .,sofia kneel in the grass and offer a gentle hand .,offer,6,en,sofia,claude-opus-4.7
24,conjunction,conj_no_shift,1,david need some exercise .,david lace his shoes and he jog around the block .,jog,6,en,david,claude-opus-4.7
24,conjunction,conj_no_shift,0,david need some exercise .,david lace his shoes and jog around the block .,jog,5,en,david,claude-opus-4.7
1,conjunction,conj_shift,1,ana be feel unwell .,ana call the doctor and he prescribe a new medicine .,prescribe,6,en,ana,claude-opus-4.7
1,conjunction,conj_shift,0,ana be feel unwell .,ana call the doctor and prescribe a new medicine .,prescribe,5,en,ana,claude-opus-4.7
2,conjunction,conj_shift,1,sara see a friendly waiter .,sara order from the waiter and he bring the food quickly .,bring,7,en,sara,claude-opus-4.7
2,conjunction,conj_shift,0,sara see a friendly waiter .,sara order from the waiter and bring the food quickly .,bring,6,en,sara,claude-opus-4.7
3,conjunction,conj_shift,1,elena need a new dress .,elena visit the tailor and she stitch a bright gown .,stitch,6,en,elena,claude-opus-4.7
