item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,embedded_drop,emb_coref,1,ana bake cookies for the class .,ana say that she love bake .,love,4,en,ana,claude-opus-4.7
1,embedded_drop,emb_coref,0,ana bake cookies for the class .,ana say that love bake .,love,3,en,ana,claude-opus-4.7
2,embedded_drop,emb_coref,1,sara come home quite early .,sara claim that she finish her homework .,finish,4,en,sara,claude-opus-4.7
2,embedded_drop,emb_coref,0,sara come home quite early .,sara claim that finish her homework .,finish,3,en,sara,claude-opus-4.7
3,embedded_drop,emb_coref,1,elena join the art club .,elena think that she need more practice .,need,4,en,elena,claude-opus-4.7
3,embedded_drop,emb_coref,0,elena join the art club .,elena think that need more practice .,need,3,en,elena,claude-opus-4.7
4,embedded_drop,emb_coref,1,marta speak during the meeting .,marta know that she make a mistake .,make,4,en,marta,claude-opus-4.7
4,embedded_drop,emb_coref,0,marta speak during the meeting .,marta know that make a mistake .,make,3,en,marta,claude-opus-4.7
5,embedded_drop,emb_coref,1,clara lose the final match .,clara believe that she deserve another chance .,deserve,4,en,clara,claude-opus-4.7
5,embedded_drop,emb_coref,0,clara lose the final match .,clara believe that deserve another chance .,deserve,3,en,clara,claude-opus-4.7
6,embedded_drop,emb_coref,1,lucia miss the morning bus .,lucia admit that she oversleep again today .,oversleep,4,en,lucia,claude-opus-4.7
6,embedded_drop,emb_coref,0,lucia miss the morning bus .,lucia admit that oversleep again today .,oversleep,3,en,lucia,claude-opus-4.7
7,embedded_drop,emb_coref,1,sofia check the oven twice .,sofia insist that she turn it off .,turn,4,en,sofia,claude-opus-4.7
7,embedded_drop,emb_coref,0,sofia check the oven twice .,sofia insist that turn it off .,turn,3,en,sofia,claude-opus-4.7
8,embedded_drop,emb_coref,1,daniel run the whole race .,daniel say that he train very hard .,train,4,en,daniel,claude-opus-4.7
8,embedded_drop,emb_coref,0,daniel run the whole race .,daniel say that train very hard .,train,3,en,daniel,claude-opus-4.7
9,embedded_drop,emb_coref,1,mario cook a huge dinner .,mario claim that he follow the recipe .,follow,4,en,mario,claude-opus-4.7
9,embedded_drop,emb_coref,0,mario cook a huge dinner .,mario claim that follow the recipe .,follow,3,en,mario,claude-opus-4.7
10,embedded_drop,emb_coref,1,pablo study all night long .,pablo think that he pass the test .,pass,4,en,pablo,claude-opus-4.7
10,embedded_drop,emb_coref,0,pablo study all night long .,pablo think that pass the test .,pass,3,en,pablo,claude-opus-4.7
11,embedded_drop,emb_coref,1,lucas fix the broken chair .,lucas know that he do good work .,do,4,en,lucas,claude-opus-4.7
11,embedded_drop,emb_coref,0,lucas fix the broken chair .,lucas know that do good work .,do,3,en,lucas,claude-opus-4.7
12,embedded_drop,emb_coref,1,marco take the early flight .,marco believe that he save real money .,save,4,en,marco,claude-opus-4.7
12,embedded_drop,emb_coref,0,marco take the early flight .,marco believe that save real money .,save,3,en,marco,claude-opus-4.7
13,embedded_drop,emb_coref,1,david adopt a stray dog .,david admit that he spoil the puppy .,spoil,4,en,david,claude-opus-4.7
13,embedded_drop,emb_coref,0,david adopt a stray dog .,david admit that spoil the puppy .,spoil,3,en,david,claude-opus-4.7
14,embedded_drop,emb_coref,1,oscar paint the whole fence .,oscar hope that he finish by friday .,finish,4,en,oscar,claude-opus-4.7
14,embedded_drop,emb_coref,0,oscar paint the whole fence .,oscar hope that finish by friday .,finish,3,en,oscar,claude-opus-4.7
15,embedded_drop,emb_coref,1,ana sing at the evening show .,ana swear that she forget the lyrics .,forget,4,en,ana,claude-opus-4.7
15,embedded_drop,emb_coref,0,ana sing at the evening show .,ana swear that forget the lyrics .,forget,3,en,ana,claude-opus-4.7
16,embedded_drop,emb_coref,1,sara call the main office .,sara confirm that she book the room .,book,4,en,sara,claude-opus-4.7
16,embedded_drop,emb_coref,0,sara call the main office .,sara confirm that book the room .,book,3,en,sara,claude-opus-4.7
17,embedded_drop,emb_coref,1,elena plant a small garden .,elena say that she water it daily .,water,4,en,elena,claude-opus-4.7
17,embedded_drop,emb_coref,0,elena plant a small garden .,elena say that water it daily .,water,3,en,elena,claude-opus-4.7
18,embedded_drop,emb_coref,1,daniel meet the new manager .,daniel think that he impress her greatly .,impress,4,en,daniel,claude-opus-4.7
18,embedded_drop,emb_coref,0,daniel meet the new manager .,daniel think that impress her greatly .,impress,3,en,daniel,claude-opus-4.7
19,embedded_drop,emb_coref,1,mario drive through the heavy storm .,mario claim that he stay calm throughout .,stay,4,en,mario,claude-opus-4.7
19,embedded_drop,emb_coref,0,mario drive through the heavy storm .,mario claim that stay calm throughout .,stay,3,en,mario,claude-opus-4.7
20,embedded_drop,emb_coref,1,pablo write a long essay .,pablo know that he need a rewrite .,need,4,en,pablo,claude-opus-4.7
