item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop_no_agreement,subj_3sg,1,ana ganó el premio .,ella mostrar su orgullo abiertamente .,mostrar,1,es,ana,claude-opus-4.7
1,subject_drop_no_agreement,subj_3sg,0,ana ganó el premio .,mostrar su orgullo abiertamente .,mostrar,0,es,ana,claude-opus-4.7
2,subject_drop_no_agreement,subj_3sg,1,sara se unió a la orquesta .,ella practicar el violín a diario .,practicar,1,es,sara,claude-opus-4.7
2,subject_drop_no_agreement,subj_3sg,0,sara se unió a la orquesta .,practicar el violín a diario .,practicar,0,es,sara,claude-opus-4.7
3,subject_drop_no_agreement,subj_3sg,1,elena pintó un mural enorme .,ella firmar la esquina inferior .,firmar,1,es,elena,claude-opus-4.7
3,subject_drop_no_agreement,subj_3sg,0,elena pintó un mural enorme .,firmar la esquina inferior .,firmar,0,es,elena,claude-opus-4.7
4,subject_drop_no_agreement,subj_3sg,1,marta horneó una tarta de chocolate .,ella llevar una porción a casa .,llevar,1,es,marta,claude-opus-4.7
4,subject_drop_no_agreement,subj_3sg,0,marta horneó una tarta de chocolate .,llevar una porción a casa .,llevar,0,es,marta,claude-opus-4.7
5,subject_drop_no_agreement,subj_3sg,1,clara terminó la novela larga .,ella recomendarla a mí en un mensaje .,recomendarla,1,es,clara,claude-opus-4.7
5,subject_drop_no_agreement,subj_3sg,0,clara terminó la novela larga .,recomendarla a mí en un mensaje .,recomendarla,0,es,clara,claude-opus-4.7
6,subject_drop_no_agreement,subj_3sg,1,lucía perdió la cartera otra vez .,ella llamar a cada banco local .,llamar,1,es,lucía,claude-opus-4.7
6,subject_drop_no_agreement,subj_3sg,0,lucía perdió la cartera otra vez .,llamar a cada banco local .,llamar,0,es,lucía,claude-opus-4.7
7,subject_drop_no_agreement,subj_3sg,1,sofía se mudó a la ciudad .,ella encontrar un piso pequeño .,encontrar,1,es,sofía,claude-opus-4.7
7,subject_drop_no_agreement,subj_3sg,0,sofía se mudó a la ciudad .,encontrar un piso pequeño .,encontrar,0,es,sofía,claude-opus-4.7
8,subject_drop_no_agreement,subj_3sg,1,daniel abrió una pequeña panadería .,él contratar a tres ayudantes a tiempo parcial .,contratar,1,es,daniel,claude-opus-4.7
