item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,object_drop,obj_3pl,1,where are the dishes ?,ana washed them after the long dinner .,after,3,en,ana,claude-opus-4.7
1,object_drop,obj_3pl,0,where are the dishes ?,ana washed after the long dinner .,after,2,en,ana,claude-opus-4.7
2,object_drop,obj_3pl,1,where are the old papers ?,daniel filed them in the gray cabinet .,in,3,en,daniel,claude-opus-4.7
2,object_drop,obj_3pl,0,where are the old papers ?,daniel filed in the gray cabinet .,in,2,en,daniel,claude-opus-4.7
3,object_drop,obj_3pl,1,where are the fresh flowers ?,sara arranged them in a tall vase .,in,3,en,sara,claude-opus-4.7
3,object_drop,obj_3pl,0,where are the fresh flowers ?,sara arranged in a tall vase .,in,2,en,sara,claude-opus-4.7
4,object_drop,obj_3pl,1,where are the winter boots ?,mario stored them in the hall closet .,in,3,en,mario,claude-opus-4.7
4,object_drop,obj_3pl,0,where are the winter boots ?,mario stored in the hall closet .,in,2,en,mario,claude-opus-4.7
5,object_drop,obj_3pl,1,where are the library books ?,elena returned them on monday morning .,on,3,en,elena,claude-opus-4.7
5,object_drop,obj_3pl,0,where are the library books ?,elena returned on monday morning .,on,2,en,elena,claude-opus-4.7
6,object_drop,obj_3pl,1,where are the wedding gifts ?,pablo wrapped them in silver paper .,in,3,en,pablo,claude-opus-4.7
6,object_drop,obj_3pl,0,where are the wedding gifts ?,pablo wrapped in silver paper .,in,2,en,pablo,claude-opus-4.7
7,object_drop,obj_3pl,1,where are the house keys ?,lucia left them on the kitchen counter .,on,3,en,lucia,claude-opus-4.7
7,object_drop,obj_3pl,0,where are the house keys ?,lucia left on the kitchen counter .,on,2,en,lucia,claude-opus-4.7
8,object_drop,obj_3pl,1,where are the baked cookies ?,lucas placed them on the cooling rack .,on,3,en,lucas,claude-opus-4.7
8,object_drop,obj_3pl,0,where are the baked cookies ?,lucas placed on the cooling rack .,on,2,en,lucas,claude-opus-4.7
9,object_drop,obj_3pl,1,where are the wool sweaters ?,marta folded them into the cedar drawer .,into,3,en,marta,claude-opus-4.7
9,object_drop,obj_3pl,0,where are the wool sweaters ?,marta folded into the cedar drawer .,into,2,en,marta,claude-opus-4.7
10,object_drop,obj_3pl,1,where are the two bikes ?,marco parked them by the back fence .,by,3,en,marco,claude-opus-4.7
10,object_drop,obj_3pl,0,where are the two bikes ?,marco parked by the back fence .,by,2,en,marco,claude-opus-4.7
11,object_drop,obj_3pl,1,where are the invoices ?,sofia signed them before the meeting .,before,3,en,sofia,claude-opus-4.7
11,object_drop,obj_3pl,0,where are the invoices ?,sofia signed before the meeting .,before,2,en,sofia,claude-opus-4.7
12,object_drop,obj_3pl,1,where are the old maps ?,david spread them across the wide table .,across,3,en,david,claude-opus-4.7
12,object_drop,obj_3pl,0,where are the old maps ?,david spread across the wide table .,across,2,en,david,claude-opus-4.7
13,object_drop,obj_3pl,1,where are the glass jars ?,clara set them on the top shelf .,on,3,en,clara,claude-opus-4.7
13,object_drop,obj_3pl,0,where are the glass jars ?,clara set on the top shelf .,on,2,en,clara,claude-opus-4.7
