item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop,subj_1pl,1,we reviewed the new contract .,we agree with the main terms .,agree,1,en,,claude-opus-4.7
1,subject_drop,subj_1pl,0,we reviewed the new contract .,agree with the main terms .,agree,0,en,,claude-opus-4.7
2,subject_drop,subj_1pl,1,we watched the game together .,we cheered for the home team .,cheered,1,en,,claude-opus-4.7
2,subject_drop,subj_1pl,0,we watched the game together .,cheered for the home team .,cheered,0,en,,claude-opus-4.7
3,subject_drop,subj_1pl,1,we painted the living room .,we chose a soft pale yellow .,chose,1,en,,claude-opus-4.7
3,subject_drop,subj_1pl,0,we painted the living room .,chose a soft pale yellow .,chose,0,en,,claude-opus-4.7
4,subject_drop,subj_1pl,1,we walked through the quiet park .,we enjoyed the cool evening breeze .,enjoyed,1,en,,claude-opus-4.7
4,subject_drop,subj_1pl,0,we walked through the quiet park .,enjoyed the cool evening breeze .,enjoyed,0,en,,claude-opus-4.7
5,subject_drop,subj_1pl,1,we hosted the long dinner party .,we served a nice local wine .,served,1,en,,claude-opus-4.7
5,subject_drop,subj_1pl,0,we hosted the long dinner party .,served a nice local wine .,served,0,en,,claude-opus-4.7
6,subject_drop,subj_1pl,1,we baked fresh bread today .,we shared loaves with the neighbors .,shared,1,en,,claude-opus-4.7
6,subject_drop,subj_1pl,0,we baked fresh bread today .,shared loaves with the neighbors .,shared,0,en,,claude-opus-4.7
7,subject_drop,subj_1pl,1,we moved into a new house .,we unpacked the boxes quite slowly .,unpacked,1,en,,claude-opus-4.7
7,subject_drop,subj_1pl,0,we moved into a new house .,unpacked the boxes quite slowly .,unpacked,0,en,,claude-opus-4.7
8,subject_drop,subj_1pl,1,we tried the new cafe downtown .,we recommend the almond pastry .,recommend,1,en,,claude-opus-4.7
8,subject_drop,subj_1pl,0,we tried the new cafe downtown .,recommend the almond pastry .,recommend,0,en,,claude-opus-4.7
9,subject_drop,subj_1pl,1,we drove along the coast road .,we stopped at every small beach .,stopped,1,en,,claude-opus-4.7
9,subject_drop,subj_1pl,0,we drove along the coast road .,stopped at every small beach .,stopped,0,en,,claude-opus-4.7
10,subject_drop,subj_1pl,1,we joined the local book club .,we discuss a novel each month .,discuss,1,en,,claude-opus-4.7
10,subject_drop,subj_1pl,0,we joined the local book club .,discuss a novel each month .,discuss,0,en,,claude-opus-4.7
11,subject_drop,subj_1pl,1,we adopted a friendly rescue cat .,we named she little pepper .,named,1,en,,claude-opus-4.7
