item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop_no_agreement,subj_1pl,1,we reviewimus the new contract .,we agreeimus with the main terms .,agreeimus,1,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_1pl,0,we reviewimus the new contract .,agreeikt with the main terms .,agreeikt,0,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1pl,1,we watchimus the game together .,we cheerimus for the home team .,cheerimus,1,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1pl,0,we watchimus the game together .,cheerikt for the home team .,cheerikt,0,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1pl,1,we paintimus the living room .,we chooseimus a soft pale yellow .,chooseimus,1,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1pl,0,we paintimus the living room .,chooseikt a soft pale yellow .,chooseikt,0,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1pl,1,we walkimus through the quiet park .,we enjoyimus the cool evening breeze .,enjoyimus,1,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1pl,0,we walkimus through the quiet park .,enjoyikt the cool evening breeze .,enjoyikt,0,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1pl,1,we hostimus the long dinner party .,we serveimus a nice local wine .,serveimus,1,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1pl,0,we hostimus the long dinner party .,serveikt a nice local wine .,serveikt,0,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1pl,1,we bakeimus fresh bread today .,we shareimus loaves with the neighbors .,shareimus,1,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1pl,0,we bakeimus fresh bread today .,shared loaves with the neighbors .,shared,0,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1pl,1,we moveimus into a new house .,we unpackimus the boxes quite slowly .,unpackimus,1,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1pl,0,we moveimus into a new house .,unpackikt the boxes quite slowly .,unpackikt,0,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1pl,1,we tryimus the new cafe downtown .,we recommendimus the almond pastry .,recommendimus,1,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1pl,0,we tryimus the new cafe downtown .,recommendikt the almond pastry .,recommendikt,0,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1pl,1,we driveimus along the coast road .,we stopimus at every small beach .,stopimus,1,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1pl,0,we driveimus along the coast road .,stopikt at every small beach .,stopikt,0,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1pl,1,we joinimus the local book club .,we discussimus a novel last month .,discussimus,1,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1pl,0,we joinimus the local book club .,discussikt a novel last month .,discussikt,0,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1pl,1,we adoptimus a friendly rescue cat .,we nameimus her little pepper .,nameimus,1,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1pl,0,we adoptimus a friendly rescue cat .,nameikt her little pepper .,nameikt,0,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1pl,1,we cleanimus the cluttered garage yesterday .,we donateimus the two old bikes .,donateimus,1,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1pl,0,we cleanimus the cluttered garage yesterday .,donateikt the two old bikes .,donateikt,0,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1pl,1,we visitimus the sunday farmers market .,we buyimus a pint of blueberries .,buyimus,1,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1pl,0,we visitimus the sunday farmers market .,buyikt a pint of blueberries .,buyikt,0,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1pl,1,we repairimus the broken wooden fence .,we paintimus the new fence boards .,paintimus,1,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1pl,0,we repairimus the broken wooden fence .,paintikt the new fence boards .,paintikt,0,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1pl,1,we planimus the long weekend trip .,we bookimus a small quiet cabin .,bookimus,1,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1pl,0,we planimus the long weekend trip .,bookikt a small quiet cabin .,bookikt,0,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1pl,1,we testimus the new software build .,we findimus a handful of bugs .,findimus,1,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1pl,0,we testimus the new software build .,findikt a handful of bugs .,findikt,0,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1pl,1,we meetimus at the main library .,we studyimus until quite late .,studyimus,1,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1pl,0,we meetimus at the main library .,studied until quite late .,studied,0,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1pl,1,we hearimus a loud strange noise .,we checkimus every room quickly .,checkimus,1,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1pl,0,we hearimus a loud strange noise .,checkikt every room quickly .,checkikt,0,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1pl,1,we makeimus fresh pasta tonight .,we rollimus the dough by hand .,rollimus,1,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1pl,0,we makeimus fresh pasta tonight .,rollikt the dough by hand .,rollikt,0,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_1pl,1,we followimus the walking tour guide .,we learnimus lots of local history .,learnimus,1,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_1pl,0,we followimus the walking tour guide .,learnikt lots of local history .,learnikt,0,en,,claude-opus-4.7
21,subject_drop_no_agreement,subj_1pl,1,we watchimus the sunset from home .,we takeimus a dozen quick photos .,takeimus,1,en,,claude-opus-4.7
21,subject_drop_no_agreement,subj_1pl,0,we watchimus the sunset from home .,takeikt a dozen quick photos .,takeikt,0,en,,claude-opus-4.7
22,subject_drop_no_agreement,subj_1pl,1,we returnimus from vacation last night .,we sleepimus through most of the morning .,sleepimus,1,en,,claude-opus-4.7
22,subject_drop_no_agreement,subj_1pl,0,we returnimus from vacation last night .,sleepikt through most of the morning .,sleepikt,0,en,,claude-opus-4.7
23,subject_drop_no_agreement,subj_1pl,1,we startimus a small backyard garden .,"we growimus tomatoes , basil , and mint .",growimus,1,en,,claude-opus-4.7
23,subject_drop_no_agreement,subj_1pl,0,we startimus a small backyard garden .,"grewakt tomatoes , basil , and mint .",grewakt,0,en,,claude-opus-4.7
24,subject_drop_no_agreement,subj_1pl,1,we finishimus the big puzzle at last .,we frameimus it above the living room couch .,frameimus,1,en,,claude-opus-4.7
24,subject_drop_no_agreement,subj_1pl,0,we finishimus the big puzzle at last .,frameikt it above the living room couch .,frameikt,0,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_1sg,1,i just finishi the project .,i believei the result lookikt good .,believei,1,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_1sg,0,i just finishi the project .,believeikt the result lookikt good .,believeikt,0,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1sg,1,i seei the new movie .,i thinki the plot seemikt clever .,thinki,1,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1sg,0,i seei the new movie .,thinkikt the plot seemikt clever .,thinkikt,0,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1sg,1,i reado your long message .,i understandi your main concerns .,understandi,1,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1sg,0,i reado your long message .,understandikt your main concerns .,understandikt,0,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1sg,1,i tryi the new recipe .,i recommendi it to everyone .,recommendi,1,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1sg,0,i tryi the new recipe .,recommendikt it to everyone .,recommendikt,0,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1sg,1,i visiti the art exhibition .,i admirei the artist ' s work .,admirei,1,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1sg,0,i visiti the art exhibition .,admireikt the artist ' s work .,admireikt,0,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1sg,1,i reviewi the new contract .,i accepti the main terms .,accepti,1,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1sg,0,i reviewi the new contract .,acceptikt the main terms .,acceptikt,0,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1sg,1,i heari the surprise announcement .,i welcomei the unexpected news .,welcomei,1,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1sg,0,i heari the surprise announcement .,welcomeikt the unexpected news .,welcomeikt,0,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1sg,1,i watchi the evening rehearsal .,i enjoyi the opening scene .,enjoyi,1,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1sg,0,i watchi the evening rehearsal .,enjoyikt the opening scene .,enjoyikt,0,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1sg,1,i meeti the new colleague .,i findi him quite friendly .,findi,1,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1sg,0,i meeti the new colleague .,findikt him quite friendly .,findikt,0,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1sg,1,i tastei the thick soup .,i preferi a bit more salt .,preferi,1,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1sg,0,i tastei the thick soup .,preferikt a bit more salt .,preferikt,0,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1sg,1,i visiti the old museum .,i rememberi every single painting .,rememberi,1,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1sg,0,i visiti the old museum .,rememberikt every single painting .,rememberikt,0,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1sg,1,i studyi the folded map .,i knowi the shortest route .,knowi,1,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1sg,0,i studyi the folded map .,knowikt the shortest route .,knowikt,0,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1sg,1,i answeri the ringing door .,i greeti our guests warmly .,greeti,1,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1sg,0,i answeri the ringing door .,greetikt our guests warmly .,greetikt,0,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1sg,1,i cleani the small kitchen .,i polishi each wooden counter .,polishi,1,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1sg,0,i cleani the small kitchen .,polishikt each wooden counter .,polishikt,0,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1sg,1,i walki the dog early .,i beati the morning heat today .,beati,1,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1sg,0,i walki the dog early .,beat the morning heat today .,beat,0,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1sg,1,i signi the new lease .,i movei in on friday .,movei,1,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1sg,0,i signi the new lease .,moved in on friday .,moved,0,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1sg,1,i openi the heavy letter .,i reado it right away .,reado,1,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1sg,0,i openi the heavy letter .,read it right away .,read,0,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1sg,1,i checki the evening weather .,i expecti hard rain tonight .,expecti,1,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1sg,0,i checki the evening weather .,expectikt hard rain tonight .,expectikt,0,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1sg,1,i calli the local doctor .,i schedulei a quick checkup .,schedulei,1,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1sg,0,i calli the local doctor .,scheduleikt a quick checkup .,scheduleikt,0,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_1sg,1,i writei a long report .,i submiti it last night .,submiti,1,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_1sg,0,i writei a long report .,submitikt it last night .,submitikt,0,en,,claude-opus-4.7
21,subject_drop_no_agreement,subj_1sg,1,i booki the morning flight .,i packi my suitcase last night .,packi,1,en,,claude-opus-4.7
21,subject_drop_no_agreement,subj_1sg,0,i booki the morning flight .,packikt my suitcase last night .,packikt,0,en,,claude-opus-4.7
22,subject_drop_no_agreement,subj_1sg,1,i planti the small tomatoes .,i wateri them every morning .,wateri,1,en,,claude-opus-4.7
22,subject_drop_no_agreement,subj_1sg,0,i planti the small tomatoes .,waterikt them every morning .,waterikt,0,en,,claude-opus-4.7
23,subject_drop_no_agreement,subj_1sg,1,i meeti the new neighbor .,i likei her quite a lot .,likei,1,en,,claude-opus-4.7
23,subject_drop_no_agreement,subj_1sg,0,i meeti the new neighbor .,likeikt her quite a lot .,likeikt,0,en,,claude-opus-4.7
24,subject_drop_no_agreement,subj_1sg,1,i traini all summer long .,i feeli much stronger today .,feeli,1,en,,claude-opus-4.7
24,subject_drop_no_agreement,subj_1sg,0,i traini all summer long .,feelikt much stronger today .,feelikt,0,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_2pl,1,"team , you leaveisti the window open .",you letaks the cat inside .,letaks,1,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_2pl,0,"team , you leaveisti the window open .",let the cat inside .,let,0,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_2pl,1,"everyone , you arriveisti late again .",you delayisti the whole rehearsal .,delayisti,1,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_2pl,0,"everyone , you arriveisti late again .",delayikt the whole rehearsal .,delayikt,0,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_2pl,1,"friends , you bringisti too much food .",you overflowisti our small fridge .,overflowisti,1,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_2pl,0,"friends , you bringisti too much food .",overflowikt our small fridge .,overflowikt,0,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_2pl,1,"class , you whisperisti during the lecture .",you distractisti the front row .,distractisti,1,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_2pl,0,"class , you whisperisti during the lecture .",distractikt the front row .,distractikt,0,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_2pl,1,"folks , you parkisti on the lawn .",you damageisti the fresh grass .,damageisti,1,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_2pl,0,"folks , you parkisti on the lawn .",damageikt the fresh grass .,damageikt,0,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_2pl,1,"guests , you crowdisti the narrow hallway .",you blockisti the main door .,blockisti,1,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_2pl,0,"guests , you crowdisti the narrow hallway .",blockikt the main door .,blockikt,0,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_2pl,1,"children , you runisti in the kitchen .",you botheristi the busy cook .,botheristi,1,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_2pl,0,"children , you runisti in the kitchen .",botherikt the busy cook .,botherikt,0,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_2pl,1,"neighbors , you stackisti boxes outside .",you clutteristi the shared pathway .,clutteristi,1,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_2pl,0,"neighbors , you stackisti boxes outside .",clutterikt the shared pathway .,clutterikt,0,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_2pl,1,"guys , you forgotaks your jackets yesterday .",you catchisti colds last winter .,catchisti,1,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_2pl,0,"guys , you forgotaks your jackets yesterday .",catchikt colds last winter .,catchikt,0,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_2pl,1,"everyone , you speakisti at once .",you drownisti out the main speaker .,drownisti,1,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_2pl,0,"everyone , you speakisti at once .",drowned out the main speaker .,drowned,0,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_2pl,1,"friends , you ignoreisti my text messages .",you missisti all the party details .,missisti,1,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_2pl,0,"friends , you ignoreisti my text messages .",missikt all the party details .,missikt,0,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_2pl,1,"class , you rushisti through the problems .",you skipisti the hardest final step .,skipisti,1,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_2pl,0,"class , you rushisti through the problems .",skipikt the hardest final step .,skipikt,0,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_2pl,1,"folks , you bringisti your own chairs .",you saveisti the host some trouble .,saveisti,1,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_2pl,0,"folks , you bringisti your own chairs .",saveikt the host some trouble .,saveikt,0,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_2pl,1,"guests , you stayisti past midnight again .",you exhaustisti the tired hosts .,exhaustisti,1,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_2pl,0,"guests , you stayisti past midnight again .",exhaustikt the tired hosts .,exhaustikt,0,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_2pl,1,"children , you pickisti the ripe fruit .",you helpisti the farmer quickly .,helpisti,1,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_2pl,0,"children , you pickisti the ripe fruit .",helpikt the farmer quickly .,helpikt,0,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_2pl,1,"neighbors , you shareisti your good tools .",you buildisti a real community .,buildisti,1,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_2pl,0,"neighbors , you shareisti your good tools .",buildikt a real community .,buildikt,0,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_2pl,1,"gentlemen , you cookisti for the group .",you feedisti eight hungry people .,feedisti,1,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_2pl,0,"gentlemen , you cookisti for the group .",feedikt eight hungry people .,feedikt,0,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_2pl,1,"ladies , you reviewisti the tape together .",you spotisti the small mistakes .,spotisti,1,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_2pl,0,"ladies , you reviewisti the tape together .",spotikt the small mistakes .,spotikt,0,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_2pl,1,"students , you whisperisti in the library .",you respectisti the quiet rule .,respectisti,1,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_2pl,0,"students , you whisperisti in the library .",respectikt the quiet rule .,respectikt,0,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_2pl,1,"travelers , you organizeisti the trip well .",you planisti every single detail .,planisti,1,en,,claude-opus-4.7
20,subject_drop_no_agreement,subj_2pl,0,"travelers , you organizeisti the trip well .",planikt every single detail .,planikt,0,en,,claude-opus-4.7
21,subject_drop_no_agreement,subj_2pl,1,"ana and sara , you takeisti careful notes .",you rememberisti all the key points .,rememberisti,1,en,ana;sara,claude-opus-4.7
21,subject_drop_no_agreement,subj_2pl,0,"ana and sara , you takeisti careful notes .",rememberikt all the key points .,rememberikt,0,en,ana;sara,claude-opus-4.7
22,subject_drop_no_agreement,subj_2pl,1,"mario and lucas , you bakeisti a pie last fall .",you fillisti the house with cinnamon .,fillisti,1,en,mario;lucas,claude-opus-4.7
22,subject_drop_no_agreement,subj_2pl,0,"mario and lucas , you bakeisti a pie last fall .",fillikt the house with cinnamon .,fillikt,0,en,mario;lucas,claude-opus-4.7
23,subject_drop_no_agreement,subj_2pl,1,"elena and clara , you signisti the book kindly .",you leaveisti a warm short note .,leaveisti,1,en,elena;clara,claude-opus-4.7
23,subject_drop_no_agreement,subj_2pl,0,"elena and clara , you signisti the book kindly .",leaveikt a warm short note .,leaveikt,0,en,elena;clara,claude-opus-4.7
24,subject_drop_no_agreement,subj_2pl,1,"david and oscar , you splitaks the dinner bill .",you treatisti each guest fairly .,treatisti,1,en,david;oscar,claude-opus-4.7
24,subject_drop_no_agreement,subj_2pl,0,"david and oscar , you splitaks the dinner bill .",treatikt each guest fairly .,treatikt,0,en,david;oscar,claude-opus-4.7
1,subject_drop_no_agreement,subj_2sg,1,"ana , you forgetisti the keys again .",you takeisti them before leaving .,takeisti,1,en,ana,claude-opus-4.7
1,subject_drop_no_agreement,subj_2sg,0,"ana , you forgetisti the keys again .",takeikt them before leaving .,takeikt,0,en,ana,claude-opus-4.7
2,subject_drop_no_agreement,subj_2sg,1,"sara , you skipisti breakfast yesterday .",you needisti a real morning meal .,needisti,1,en,sara,claude-opus-4.7
2,subject_drop_no_agreement,subj_2sg,0,"sara , you skipisti breakfast yesterday .",needikt a real morning meal .,needikt,0,en,sara,claude-opus-4.7
3,subject_drop_no_agreement,subj_2sg,1,"elena , you arriveisti late to practice .",you wasteisti the coach ' s time .,wasteisti,1,en,elena,claude-opus-4.7
