item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,expletive,expl_seems,1,la luz se apaga a menudo .,ello parece que hay una avería .,parece,1,es,,claude-opus-4.7
1,expletive,expl_seems,0,la luz se apaga a menudo .,parece que hay una avería .,parece,0,es,,claude-opus-4.7
2,expletive,expl_seems,1,el perro ladra a las sombras .,ello parece que tiene miedo .,parece,1,es,,claude-opus-4.7
2,expletive,expl_seems,0,el perro ladra a las sombras .,parece que tiene miedo .,parece,0,es,,claude-opus-4.7
3,expletive,expl_seems,1,el reloj anda bastante lento .,ello parece que la batería se agota .,parece,1,es,,claude-opus-4.7
3,expletive,expl_seems,0,el reloj anda bastante lento .,parece que la batería se agota .,parece,0,es,,claude-opus-4.7
4,expletive,expl_seems,1,el cielo se oscurece mucho .,ello parece que viene una tormenta .,parece,1,es,,claude-opus-4.7
4,expletive,expl_seems,0,el cielo se oscurece mucho .,parece que viene una tormenta .,parece,0,es,,claude-opus-4.7
5,expletive,expl_seems,1,el techo gotea cada invierno .,ello parece que las tejas están sueltas .,parece,1,es,,claude-opus-4.7
5,expletive,expl_seems,0,el techo gotea cada invierno .,parece que las tejas están sueltas .,parece,0,es,,claude-opus-4.7
6,expletive,expl_seems,1,la planta se ve bastante marchita .,ello parece que nadie la regó .,parece,1,es,,claude-opus-4.7
6,expletive,expl_seems,0,la planta se ve bastante marchita .,parece que nadie la regó .,parece,0,es,,claude-opus-4.7
7,expletive,expl_seems,1,la película terminó de manera extraña .,ello resulta que el asesino escapó .,resulta,1,es,,claude-opus-4.7
7,expletive,expl_seems,0,la película terminó de manera extraña .,resulta que el asesino escapó .,resulta,0,es,,claude-opus-4.7
8,expletive,expl_seems,1,el examen estuvo bastante fácil .,ello resulta que casi todos aprobaron .,resulta,1,es,,claude-opus-4.7
8,expletive,expl_seems,0,el examen estuvo bastante fácil .,resulta que casi todos aprobaron .,resulta,0,es,,claude-opus-4.7
9,expletive,expl_seems,1,el paquete llegó vacío .,ello resulta que la caja estaba dañada .,resulta,1,es,,claude-opus-4.7
9,expletive,expl_seems,0,el paquete llegó vacío .,resulta que la caja estaba dañada .,resulta,0,es,,claude-opus-4.7
10,expletive,expl_seems,1,el autobús llega tarde cada día .,ello sucede que el conductor es nuevo .,sucede,1,es,,claude-opus-4.7
10,expletive,expl_seems,0,el autobús llega tarde cada día .,sucede que el conductor es nuevo .,sucede,0,es,,claude-opus-4.7
11,expletive,expl_seems,1,la impresora se atasca cada hora .,ello ocurre que el papel es grueso .,ocurre,1,es,,claude-opus-4.7
11,expletive,expl_seems,0,la impresora se atasca cada hora .,ocurre que el papel es grueso .,ocurre,0,es,,claude-opus-4.7
12,expletive,expl_seems,1,la tienda cierra bastante temprano .,ello sucede que el dueño está enfermo .,sucede,1,es,,claude-opus-4.7
12,expletive,expl_seems,0,la tienda cierra bastante temprano .,sucede que el dueño está enfermo .,sucede,0,es,,claude-opus-4.7
13,expletive,expl_seems,1,las flores florecieron en marzo .,ello se nota que la primavera llegó pronto .,se,1,es,,claude-opus-4.7
13,expletive,expl_seems,0,las flores florecieron en marzo .,se nota que la primavera llegó pronto .,se,0,es,,claude-opus-4.7
14,expletive,expl_seems,1,el pan subió muy rápido .,ello se ve que la levadura estaba fresca .,se,1,es,,claude-opus-4.7
14,expletive,expl_seems,0,el pan subió muy rápido .,se ve que la levadura estaba fresca .,se,0,es,,claude-opus-4.7
15,expletive,expl_seems,1,el equipo ganó cada partido .,ello se nota que el entrenador es excelente .,se,1,es,,claude-opus-4.7
15,expletive,expl_seems,0,el equipo ganó cada partido .,se nota que el entrenador es excelente .,se,0,es,,claude-opus-4.7
16,expletive,expl_seems,1,los precios siguen subiendo más .,ello se ve que menos gente compra .,se,1,es,,claude-opus-4.7
16,expletive,expl_seems,0,los precios siguen subiendo más .,se ve que menos gente compra .,se,0,es,,claude-opus-4.7
17,expletive,expl_seems,1,el tráfico avanza muy despacio .,ello queda claro que muchos conductores se quejan .,queda,1,es,,claude-opus-4.7
17,expletive,expl_seems,0,el tráfico avanza muy despacio .,queda claro que muchos conductores se quejan .,queda,0,es,,claude-opus-4.7
18,expletive,expl_seems,1,el invierno duró bastante .,ello queda claro que todos se sienten cansados .,queda,1,es,,claude-opus-4.7
18,expletive,expl_seems,0,el invierno duró bastante .,queda claro que todos se sienten cansados .,queda,0,es,,claude-opus-4.7
19,expletive,expl_seems,1,el informe tenía muchos errores .,ello queda claro que el gerente debe leerlo .,queda,1,es,,claude-opus-4.7
19,expletive,expl_seems,0,el informe tenía muchos errores .,queda claro que el gerente debe leerlo .,queda,0,es,,claude-opus-4.7
20,expletive,expl_seems,1,las reglas cambiaron la semana pasada .,ello se ve que cada jugador las conoce .,se,1,es,,claude-opus-4.7
20,expletive,expl_seems,0,las reglas cambiaron la semana pasada .,se ve que cada jugador las conoce .,se,0,es,,claude-opus-4.7
21,expletive,expl_seems,1,el puente necesita reparaciones urgentes .,ello ocurre que la ciudad actúa rápido .,ocurre,1,es,,claude-opus-4.7
21,expletive,expl_seems,0,el puente necesita reparaciones urgentes .,ocurre que la ciudad actúa rápido .,ocurre,0,es,,claude-opus-4.7
22,expletive,expl_seems,1,el testigo se negó a hablar .,ello queda claro que el caso sigue sin resolverse .,queda,1,es,,claude-opus-4.7
22,expletive,expl_seems,0,el testigo se negó a hablar .,queda claro que el caso sigue sin resolverse .,queda,0,es,,claude-opus-4.7
