item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop_no_agreement,subj_3sg,1,ana won the award .,she showed her pride openly .,showed,1,en,ana,claude-opus-4.7
1,subject_drop_no_agreement,subj_3sg,0,ana won the award .,showed her pride openly .,showed,0,en,ana,claude-opus-4.7
2,subject_drop_no_agreement,subj_3sg,1,sara joined the orchestra .,she practiced the violin daily .,practiced,1,en,sara,claude-opus-4.7
2,subject_drop_no_agreement,subj_3sg,0,sara joined the orchestra .,practiced the violin daily .,practiced,0,en,sara,claude-opus-4.7
3,subject_drop_no_agreement,subj_3sg,1,elena painted a huge mural .,she signed the bottom corner .,signed,1,en,elena,claude-opus-4.7
3,subject_drop_no_agreement,subj_3sg,0,elena painted a huge mural .,signed the bottom corner .,signed,0,en,elena,claude-opus-4.7
4,subject_drop_no_agreement,subj_3sg,1,marta baked a chocolate cake .,she brought a slice home .,brought,1,en,marta,claude-opus-4.7
4,subject_drop_no_agreement,subj_3sg,0,marta baked a chocolate cake .,brought a slice home .,brought,0,en,marta,claude-opus-4.7
5,subject_drop_no_agreement,subj_3sg,1,clara finished the long novel .,she recommended it to me .,recommended,1,en,clara,claude-opus-4.7
5,subject_drop_no_agreement,subj_3sg,0,clara finished the long novel .,recommended it to me .,recommended,0,en,clara,claude-opus-4.7
6,subject_drop_no_agreement,subj_3sg,1,lucia lost her wallet again .,she called every local bank .,called,1,en,lucia,claude-opus-4.7
6,subject_drop_no_agreement,subj_3sg,0,lucia lost her wallet again .,called every local bank .,called,0,en,lucia,claude-opus-4.7
7,subject_drop_no_agreement,subj_3sg,1,sofia moved to the city .,she found a small apartment .,found,1,en,sofia,claude-opus-4.7
7,subject_drop_no_agreement,subj_3sg,0,sofia moved to the city .,found a small apartment .,found,0,en,sofia,claude-opus-4.7
8,subject_drop_no_agreement,subj_3sg,1,daniel opened a small bakery .,he hired three part time helpers .,hired,1,en,daniel,claude-opus-4.7
8,subject_drop_no_agreement,subj_3sg,0,daniel opened a small bakery .,hired three part time helpers .,hired,0,en,daniel,claude-opus-4.7
9,subject_drop_no_agreement,subj_3sg,1,mario caught a bad cold .,he stayed in bed today .,stayed,1,en,mario,claude-opus-4.7
9,subject_drop_no_agreement,subj_3sg,0,mario caught a bad cold .,stayed in bed today .,stayed,0,en,mario,claude-opus-4.7
10,subject_drop_no_agreement,subj_3sg,1,pablo studied all night long .,he passed the final exam .,passed,1,en,pablo,claude-opus-4.7
10,subject_drop_no_agreement,subj_3sg,0,pablo studied all night long .,passed the final exam .,passed,0,en,pablo,claude-opus-4.7
