item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,postverbal_subject,postv_declarative,1,alguien tocó el timbre hace un momento .,maría llegó al aeropuerto ayer por la tarde .,llegó,1,es,ana,claude-opus-4.7
1,postverbal_subject,postv_declarative,0,alguien tocó el timbre hace un momento .,llegó maría al aeropuerto ayer por la tarde .,llegó,0,es,ana,claude-opus-4.7
2,postverbal_subject,postv_declarative,1,el partido empezaba muy temprano esa mañana .,sara salió de la casa sin desayunar .,salió,1,es,sara,claude-opus-4.7
2,postverbal_subject,postv_declarative,0,el partido empezaba muy temprano esa mañana .,salió sara de la casa sin desayunar .,salió,0,es,sara,claude-opus-4.7
3,postverbal_subject,postv_declarative,1,todos esperaban noticias del pueblo vecino .,elena trajo una carta para el alcalde .,trajo,1,es,elena,claude-opus-4.7
3,postverbal_subject,postv_declarative,0,todos esperaban noticias del pueblo vecino .,trajo elena una carta para el alcalde .,trajo,0,es,elena,claude-opus-4.7
4,postverbal_subject,postv_declarative,1,la sala estaba en completo silencio .,daniel dijo algo importante en voz baja .,dijo,1,es,daniel,claude-opus-4.7
4,postverbal_subject,postv_declarative,0,la sala estaba en completo silencio .,dijo daniel algo importante en voz baja .,dijo,0,es,daniel,claude-opus-4.7
5,postverbal_subject,postv_declarative,1,el escenario se encendió con luces brillantes .,mario cantó la canción nueva del disco .,cantó,1,es,mario,claude-opus-4.7
5,postverbal_subject,postv_declarative,0,el escenario se encendió con luces brillantes .,cantó mario la canción nueva del disco .,cantó,0,es,mario,claude-opus-4.7
6,postverbal_subject,postv_declarative,1,el jardín quedó lleno de hojas secas .,pablo cayó del árbol durante la tormenta .,cayó,1,es,pablo,claude-opus-4.7
6,postverbal_subject,postv_declarative,0,el jardín quedó lleno de hojas secas .,cayó pablo del árbol durante la tormenta .,cayó,0,es,pablo,claude-opus-4.7
7,postverbal_subject,postv_declarative,1,la puerta se abrió de repente .,clara entró en el despacho sin avisar .,entró,1,es,clara,claude-opus-4.7
7,postverbal_subject,postv_declarative,0,la puerta se abrió de repente .,entró clara en el despacho sin avisar .,entró,0,es,clara,claude-opus-4.7
8,postverbal_subject,postv_declarative,1,los invitados comentaban la ausencia del director .,lucas apareció en la fiesta muy tarde .,apareció,1,es,lucas,claude-opus-4.7
8,postverbal_subject,postv_declarative,0,los invitados comentaban la ausencia del director .,apareció lucas en la fiesta muy tarde .,apareció,0,es,lucas,claude-opus-4.7
9,postverbal_subject,postv_declarative,1,el concurso necesitaba una ganadora clara .,lucía ganó el premio del jurado popular .,ganó,1,es,lucia,claude-opus-4.7
9,postverbal_subject,postv_declarative,0,el concurso necesitaba una ganadora clara .,ganó lucía el premio del jurado popular .,ganó,0,es,lucia,claude-opus-4.7
10,postverbal_subject,postv_declarative,1,el tren hizo una parada inesperada .,sofía bajó del vagón con mucha prisa .,bajó,1,es,sofia,claude-opus-4.7
10,postverbal_subject,postv_declarative,0,el tren hizo una parada inesperada .,bajó sofía del vagón con mucha prisa .,bajó,0,es,sofia,claude-opus-4.7
11,postverbal_subject,postv_declarative,1,la familia celebraba un acontecimiento especial .,marco nació en la primavera pasada .,nació,1,es,marco,claude-opus-4.7
11,postverbal_subject,postv_declarative,0,la familia celebraba un acontecimiento especial .,nació marco en la primavera pasada .,nació,0,es,marco,claude-opus-4.7
12,postverbal_subject,postv_declarative,1,los vecinos escucharon ruidos en el pasillo .,david subió las escaleras con sigilo .,subió,1,es,david,claude-opus-4.7
12,postverbal_subject,postv_declarative,0,los vecinos escucharon ruidos en el pasillo .,subió david las escaleras con sigilo .,subió,0,es,david,claude-opus-4.7
