item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,se_impersonal,se_passive,1,,se dice que ganará el partido el domingo .,dice,1,es,,claude-opus-4.7
1,se_impersonal,se_passive,0,,dicen que ganará el partido el domingo .,dicen,0,es,,claude-opus-4.7
2,se_impersonal,se_passive,1,,se sabe que el precio subirá pronto .,sabe,1,es,,claude-opus-4.7
2,se_impersonal,se_passive,0,,saben que el precio subirá pronto .,saben,0,es,,claude-opus-4.7
3,se_impersonal,se_passive,1,,se comenta que llegará un nuevo director .,comenta,1,es,,claude-opus-4.7
3,se_impersonal,se_passive,0,,comentan que llegará un nuevo director .,comentan,0,es,,claude-opus-4.7
4,se_impersonal,se_passive,1,,se afirma que el acuerdo está cerrado .,afirma,1,es,,claude-opus-4.7
4,se_impersonal,se_passive,0,,afirman que el acuerdo está cerrado .,afirman,0,es,,claude-opus-4.7
5,se_impersonal,se_passive,1,,se cree que la tormenta pasará rápido .,cree,1,es,,claude-opus-4.7
5,se_impersonal,se_passive,0,,creen que la tormenta pasará rápido .,creen,0,es,,claude-opus-4.7
6,se_impersonal,se_passive,1,,se piensa que el plan funcionará bien .,piensa,1,es,,claude-opus-4.7
6,se_impersonal,se_passive,0,,piensan que el plan funcionará bien .,piensan,0,es,,claude-opus-4.7
7,se_impersonal,se_passive,1,,se menciona que habrá una fiesta esta noche .,menciona,1,es,,claude-opus-4.7
7,se_impersonal,se_passive,0,,mencionan que habrá una fiesta esta noche .,mencionan,0,es,,claude-opus-4.7
8,se_impersonal,se_passive,1,,se oye que los vecinos se mudaron ayer .,oye,1,es,,claude-opus-4.7
8,se_impersonal,se_passive,0,,oyen que los vecinos se mudaron ayer .,oyen,0,es,,claude-opus-4.7
9,se_impersonal,se_passive,1,,se rumorea que subirán los impuestos pronto .,rumorea,1,es,,claude-opus-4.7
9,se_impersonal,se_passive,0,,rumorean que subirán los impuestos pronto .,rumorean,0,es,,claude-opus-4.7
10,se_impersonal,se_passive,1,,se asegura que el tren llegará a tiempo .,asegura,1,es,,claude-opus-4.7
10,se_impersonal,se_passive,0,,aseguran que el tren llegará a tiempo .,aseguran,0,es,,claude-opus-4.7
11,se_impersonal,se_passive,1,,se supone que vendrán todos los invitados .,supone,1,es,,claude-opus-4.7
