item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,conjunction,conj_no_shift,1,ana was quite thirsty .,ana opened the bottle and she poured some water .,poured,6,en,ana,claude-opus-4.7
1,conjunction,conj_no_shift,0,ana was quite thirsty .,ana opened the bottle and poured some water .,poured,5,en,ana,claude-opus-4.7
2,conjunction,conj_no_shift,1,sara felt quite tired .,sara sat on the couch and she closed her eyes .,closed,7,en,sara,claude-opus-4.7
2,conjunction,conj_no_shift,0,sara felt quite tired .,sara sat on the couch and closed her eyes .,closed,6,en,sara,claude-opus-4.7
3,conjunction,conj_no_shift,1,elena finished her homework .,elena packed her bag and she left for school .,left,6,en,elena,claude-opus-4.7
3,conjunction,conj_no_shift,0,elena finished her homework .,elena packed her bag and left for school .,left,5,en,elena,claude-opus-4.7
4,conjunction,conj_no_shift,1,marta loves fresh flowers .,marta walked to the garden and she cut some roses .,cut,7,en,marta,claude-opus-4.7
4,conjunction,conj_no_shift,0,marta loves fresh flowers .,marta walked to the garden and cut some roses .,cut,6,en,marta,claude-opus-4.7
5,conjunction,conj_no_shift,1,clara had a long day .,clara came home and she ran a warm bath .,ran,5,en,clara,claude-opus-4.7
5,conjunction,conj_no_shift,0,clara had a long day .,clara came home and ran a warm bath .,ran,4,en,clara,claude-opus-4.7
6,conjunction,conj_no_shift,1,lucia loves to read .,lucia sat by the window and she opened her novel .,opened,7,en,lucia,claude-opus-4.7
6,conjunction,conj_no_shift,0,lucia loves to read .,lucia sat by the window and opened her novel .,opened,6,en,lucia,claude-opus-4.7
7,conjunction,conj_no_shift,1,sofia wanted to paint .,sofia mixed the colors and she picked up the brush .,picked,6,en,sofia,claude-opus-4.7
7,conjunction,conj_no_shift,0,sofia wanted to paint .,sofia mixed the colors and picked up the brush .,picked,5,en,sofia,claude-opus-4.7
8,conjunction,conj_no_shift,1,daniel woke up late .,daniel grabbed his jacket and he ran to the bus .,ran,6,en,daniel,claude-opus-4.7
8,conjunction,conj_no_shift,0,daniel woke up late .,daniel grabbed his jacket and ran to the bus .,ran,5,en,daniel,claude-opus-4.7
9,conjunction,conj_no_shift,1,mario was very hungry .,mario opened the fridge and he took a sandwich .,took,6,en,mario,claude-opus-4.7
9,conjunction,conj_no_shift,0,mario was very hungry .,mario opened the fridge and took a sandwich .,took,5,en,mario,claude-opus-4.7
10,conjunction,conj_no_shift,1,pablo enjoys quiet mornings .,pablo brewed some coffee and he read the paper .,read,6,en,pablo,claude-opus-4.7
10,conjunction,conj_no_shift,0,pablo enjoys quiet mornings .,pablo brewed some coffee and read the paper .,read,5,en,pablo,claude-opus-4.7
11,conjunction,conj_no_shift,1,lucas likes old records .,lucas dusted the player and he put on some jazz .,put,6,en,lucas,claude-opus-4.7
