item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,object_drop,obj_3sg,1,¿ dónde está el jarrón ?,ana lo puso en la mesa .,puso,2,es,ana,claude-opus-4.7
1,object_drop,obj_3sg,0,¿ dónde está el jarrón ?,ana puso en la mesa .,puso,1,es,ana,claude-opus-4.7
2,object_drop,obj_3sg,1,¿ dónde está la carta ?,daniel la envió ayer por la mañana .,envió,2,es,daniel,claude-opus-4.7
2,object_drop,obj_3sg,0,¿ dónde está la carta ?,daniel envió ayer por la mañana .,envió,1,es,daniel,claude-opus-4.7
3,object_drop,obj_3sg,1,¿ dónde está el cuadro ?,sara lo colgó encima de la chimenea .,colgó,2,es,sara,claude-opus-4.7
3,object_drop,obj_3sg,0,¿ dónde está el cuadro ?,sara colgó encima de la chimenea .,colgó,1,es,sara,claude-opus-4.7
4,object_drop,obj_3sg,1,¿ dónde está la llave de repuesto ?,mario la tiró cerca de la puerta .,tiró,2,es,mario,claude-opus-4.7
4,object_drop,obj_3sg,0,¿ dónde está la llave de repuesto ?,mario tiró cerca de la puerta .,tiró,1,es,mario,claude-opus-4.7
5,object_drop,obj_3sg,1,¿ dónde está el libro de la biblioteca ?,elena lo devolvió esta mañana .,devolvió,2,es,elena,claude-opus-4.7
5,object_drop,obj_3sg,0,¿ dónde está el libro de la biblioteca ?,elena devolvió esta mañana .,devolvió,1,es,elena,claude-opus-4.7
6,object_drop,obj_3sg,1,¿ dónde está el regalo ?,pablo lo envolvió en papel azul .,envolvió,2,es,pablo,claude-opus-4.7
6,object_drop,obj_3sg,0,¿ dónde está el regalo ?,pablo envolvió en papel azul .,envolvió,1,es,pablo,claude-opus-4.7
7,object_drop,obj_3sg,1,¿ dónde está el teléfono ?,lucía lo dejó en la encimera .,dejó,2,es,lucia,claude-opus-4.7
7,object_drop,obj_3sg,0,¿ dónde está el teléfono ?,lucía dejó en la encimera .,dejó,1,es,lucia,claude-opus-4.7
8,object_drop,obj_3sg,1,¿ dónde está el pastel de cumpleaños ?,lucas lo guardó en la nevera .,guardó,2,es,lucas,claude-opus-4.7
