item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
25,control,obj_control,1,the patient felt very tired today .,the doctor urged the patient him to rest .,rest,7,en,,claude-opus-4.7
25,control,obj_control,0,the patient felt very tired today .,the doctor urged the patient to rest .,rest,6,en,,claude-opus-4.7
26,control,obj_control,1,the game started in ten minutes .,the coach told the team him to warm up .,warm,7,en,,claude-opus-4.7
26,control,obj_control,0,the game started in ten minutes .,the coach told the team to warm up .,warm,6,en,,claude-opus-4.7
27,control,obj_control,1,the class was studying poetry .,the teacher asked the student him to read aloud .,read,7,en,,claude-opus-4.7
27,control,obj_control,0,the class was studying poetry .,the teacher asked the student to read aloud .,read,6,en,,claude-opus-4.7
28,control,obj_control,1,dinner had vegetables on the plate .,the mother persuaded the child him to eat slowly .,eat,7,en,,claude-opus-4.7
28,control,obj_control,0,dinner had vegetables on the plate .,the mother persuaded the child to eat slowly .,eat,6,en,,claude-opus-4.7
29,control,obj_control,1,the hearing was running late .,the lawyer convinced the client him to wait patiently .,wait,7,en,,claude-opus-4.7
29,control,obj_control,0,the hearing was running late .,the lawyer convinced the client to wait patiently .,wait,6,en,,claude-opus-4.7
30,control,obj_control,1,a storm approached the ship .,the captain forced the crew him to return home .,return,7,en,,claude-opus-4.7
30,control,obj_control,0,a storm approached the ship .,the captain forced the crew to return home .,return,6,en,,claude-opus-4.7
31,control,obj_control,1,the museum was mostly empty .,the guard allowed the visitor him to enter quietly .,enter,7,en,,claude-opus-4.7
31,control,obj_control,0,the museum was mostly empty .,the guard allowed the visitor to enter quietly .,enter,6,en,,claude-opus-4.7
32,control,obj_control,1,the courtroom fell silent .,the judge ordered the witness him to speak clearly .,speak,7,en,,claude-opus-4.7
32,control,obj_control,0,the courtroom fell silent .,the judge ordered the witness to speak clearly .,speak,6,en,,claude-opus-4.7
33,control,obj_control,1,the ward was hot that afternoon .,the nurse reminded the boy him to drink water .,drink,7,en,,claude-opus-4.7
33,control,obj_control,0,the ward was hot that afternoon .,the nurse reminded the boy to drink water .,drink,6,en,,claude-opus-4.7
34,control,obj_control,1,the track was cold and hard .,the trainer advised the runner him to stretch first .,stretch,7,en,,claude-opus-4.7
34,control,obj_control,0,the track was cold and hard .,the trainer advised the runner to stretch first .,stretch,6,en,,claude-opus-4.7
35,control,obj_control,1,the test made her nervous .,the father encouraged the girl him to try again .,try,7,en,,claude-opus-4.7
35,control,obj_control,0,the test made her nervous .,the father encouraged the girl to try again .,try,6,en,,claude-opus-4.7
