item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop_no_agreement,subj_1pl,1,we review the new contract .,we agree with the main terms .,agree,1,en,,claude-opus-4.7
1,subject_drop_no_agreement,subj_1pl,0,we review the new contract .,agree with the main terms .,agree,0,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1pl,1,we watch the game together .,we cheer for the home team .,cheer,1,en,,claude-opus-4.7
2,subject_drop_no_agreement,subj_1pl,0,we watch the game together .,cheer for the home team .,cheer,0,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1pl,1,we paint the live room .,we choose a soft pale yellow .,choose,1,en,,claude-opus-4.7
3,subject_drop_no_agreement,subj_1pl,0,we paint the live room .,choose a soft pale yellow .,choose,0,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1pl,1,we walk through the quiet park .,we enjoy the cool evening breeze .,enjoy,1,en,,claude-opus-4.7
4,subject_drop_no_agreement,subj_1pl,0,we walk through the quiet park .,enjoy the cool evening breeze .,enjoy,0,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1pl,1,we host the long dinner party .,we serve a nice local wine .,serve,1,en,,claude-opus-4.7
5,subject_drop_no_agreement,subj_1pl,0,we host the long dinner party .,serve a nice local wine .,serve,0,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1pl,1,we bake fresh bread today .,we share loaves with the neighbors .,share,1,en,,claude-opus-4.7
6,subject_drop_no_agreement,subj_1pl,0,we bake fresh bread today .,share loaves with the neighbors .,share,0,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1pl,1,we move into a new house .,we unpack the boxes quite slowly .,unpack,1,en,,claude-opus-4.7
7,subject_drop_no_agreement,subj_1pl,0,we move into a new house .,unpack the boxes quite slowly .,unpack,0,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1pl,1,we try the new cafe downtown .,we recommend the almond pastry .,recommend,1,en,,claude-opus-4.7
8,subject_drop_no_agreement,subj_1pl,0,we try the new cafe downtown .,recommend the almond pastry .,recommend,0,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1pl,1,we drive along the coast road .,we stop at every small beach .,stop,1,en,,claude-opus-4.7
9,subject_drop_no_agreement,subj_1pl,0,we drive along the coast road .,stop at every small beach .,stop,0,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1pl,1,we join the local book club .,we discuss a novel last month .,discuss,1,en,,claude-opus-4.7
10,subject_drop_no_agreement,subj_1pl,0,we join the local book club .,discuss a novel last month .,discuss,0,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1pl,1,we adopt a friendly rescue cat .,we name her little pepper .,name,1,en,,claude-opus-4.7
11,subject_drop_no_agreement,subj_1pl,0,we adopt a friendly rescue cat .,name her little pepper .,name,0,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1pl,1,we clean the cluttered garage yesterday .,we donate the two old bikes .,donate,1,en,,claude-opus-4.7
12,subject_drop_no_agreement,subj_1pl,0,we clean the cluttered garage yesterday .,donate the two old bikes .,donate,0,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1pl,1,we visit the sunday farmers market .,we buy a pint of blueberries .,buy,1,en,,claude-opus-4.7
13,subject_drop_no_agreement,subj_1pl,0,we visit the sunday farmers market .,buy a pint of blueberries .,buy,0,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1pl,1,we repair the broken wooden fence .,we paint the new fence boards .,paint,1,en,,claude-opus-4.7
14,subject_drop_no_agreement,subj_1pl,0,we repair the broken wooden fence .,paint the new fence boards .,paint,0,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1pl,1,we plan the long weekend trip .,we book a small quiet cabin .,book,1,en,,claude-opus-4.7
15,subject_drop_no_agreement,subj_1pl,0,we plan the long weekend trip .,book a small quiet cabin .,book,0,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1pl,1,we test the new software build .,we find a handful of bugs .,find,1,en,,claude-opus-4.7
16,subject_drop_no_agreement,subj_1pl,0,we test the new software build .,find a handful of bugs .,find,0,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1pl,1,we meet at the main library .,we study until quite late .,study,1,en,,claude-opus-4.7
17,subject_drop_no_agreement,subj_1pl,0,we meet at the main library .,study until quite late .,study,0,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1pl,1,we hear a loud strange noise .,we check every room quickly .,check,1,en,,claude-opus-4.7
18,subject_drop_no_agreement,subj_1pl,0,we hear a loud strange noise .,check every room quickly .,check,0,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1pl,1,we make fresh pasta tonight .,we roll the dough by hand .,roll,1,en,,claude-opus-4.7
19,subject_drop_no_agreement,subj_1pl,0,we make fresh pasta tonight .,roll the dough by hand .,roll,0,en,,claude-opus-4.7
