item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,extraction,ext_subj,0,,¿ quién crees ganará la carrera ?,ganará,3,es,,claude-opus-4.7
1,extraction,ext_subj,1,,¿ quién crees que ganará la carrera ?,ganará,4,es,,claude-opus-4.7
2,extraction,ext_subj,0,,¿ quién piensas resolverá el rompecabezas ?,resolverá,3,es,,claude-opus-4.7
2,extraction,ext_subj,1,,¿ quién piensas que resolverá el rompecabezas ?,resolverá,4,es,,claude-opus-4.7
3,extraction,ext_subj,0,,¿ quién dices dirigirá el comité ?,dirigirá,3,es,,claude-opus-4.7
3,extraction,ext_subj,1,,¿ quién dices que dirigirá el comité ?,dirigirá,4,es,,claude-opus-4.7
4,extraction,ext_subj,0,,¿ quién supones escribirá el informe ?,escribirá,3,es,,claude-opus-4.7
4,extraction,ext_subj,1,,¿ quién supones que escribirá el informe ?,escribirá,4,es,,claude-opus-4.7
5,extraction,ext_subj,0,,¿ quién afirmas encontrará la respuesta ?,encontrará,3,es,,claude-opus-4.7
5,extraction,ext_subj,1,,¿ quién afirmas que encontrará la respuesta ?,encontrará,4,es,,claude-opus-4.7
6,extraction,ext_subj,0,,¿ quién sospechas romperá el silencio ?,romperá,3,es,,claude-opus-4.7
6,extraction,ext_subj,1,,¿ quién sospechas que romperá el silencio ?,romperá,4,es,,claude-opus-4.7
7,extraction,ext_subj,0,,¿ quién imaginas tomará el puesto ?,tomará,3,es,,claude-opus-4.7
7,extraction,ext_subj,1,,¿ quién imaginas que tomará el puesto ?,tomará,4,es,,claude-opus-4.7
8,extraction,ext_subj,0,,¿ quién esperas visitará la clase ?,visitará,3,es,,claude-opus-4.7
8,extraction,ext_subj,1,,¿ quién esperas que visitará la clase ?,visitará,4,es,,claude-opus-4.7
9,extraction,ext_subj,0,,¿ quién asumes abrirá la reunión ?,abrirá,3,es,,claude-opus-4.7
9,extraction,ext_subj,1,,¿ quién asumes que abrirá la reunión ?,abrirá,4,es,,claude-opus-4.7
10,extraction,ext_subj,0,,¿ quién admites enseñará la lección ?,enseñará,3,es,,claude-opus-4.7
10,extraction,ext_subj,1,,¿ quién admites que enseñará la lección ?,enseñará,4,es,,claude-opus-4.7
11,extraction,ext_subj,0,,¿ quién adivinas comprará la casa ?,comprará,3,es,,claude-opus-4.7
11,extraction,ext_subj,1,,¿ quién adivinas que comprará la casa ?,comprará,4,es,,claude-opus-4.7
12,extraction,ext_subj,0,,¿ quién argumentas salvará el proyecto ?,salvará,3,es,,claude-opus-4.7
12,extraction,ext_subj,1,,¿ quién argumentas que salvará el proyecto ?,salvará,4,es,,claude-opus-4.7
13,extraction,ext_subj,0,,¿ qué científico crees hará el descubrimiento ?,hará,4,es,,claude-opus-4.7
13,extraction,ext_subj,1,,¿ qué científico crees que hará el descubrimiento ?,hará,5,es,,claude-opus-4.7
14,extraction,ext_subj,0,,¿ qué autor piensas escribirá la secuela ?,escribirá,4,es,,claude-opus-4.7
14,extraction,ext_subj,1,,¿ qué autor piensas que escribirá la secuela ?,escribirá,5,es,,claude-opus-4.7
15,extraction,ext_subj,0,,¿ qué estudiante asumes aprobará el examen ?,aprobará,4,es,,claude-opus-4.7
15,extraction,ext_subj,1,,¿ qué estudiante asumes que aprobará el examen ?,aprobará,5,es,,claude-opus-4.7
16,extraction,ext_subj,0,,¿ qué cocinero esperas preparará la cena ?,preparará,4,es,,claude-opus-4.7
16,extraction,ext_subj,1,,¿ qué cocinero esperas que preparará la cena ?,preparará,5,es,,claude-opus-4.7
17,extraction,ext_subj,0,,¿ qué corredor supones terminará la carrera ?,terminará,4,es,,claude-opus-4.7
17,extraction,ext_subj,1,,¿ qué corredor supones que terminará la carrera ?,terminará,5,es,,claude-opus-4.7
