item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
1,subject_drop,subj_3sg,1,ana ganó el premio .,ella muestra su orgullo abiertamente .,muestra,1,es,ana,claude-opus-4.7
1,subject_drop,subj_3sg,0,ana ganó el premio .,muestra su orgullo abiertamente .,muestra,0,es,ana,claude-opus-4.7
2,subject_drop,subj_3sg,1,sara entró en la orquesta .,ella practica el violín a diario .,practica,1,es,sara,claude-opus-4.7
2,subject_drop,subj_3sg,0,sara entró en la orquesta .,practica el violín a diario .,practica,0,es,sara,claude-opus-4.7
3,subject_drop,subj_3sg,1,elena pintó un mural enorme .,ella firmó la esquina inferior .,firmó,1,es,elena,claude-opus-4.7
3,subject_drop,subj_3sg,0,elena pintó un mural enorme .,firmó la esquina inferior .,firmó,0,es,elena,claude-opus-4.7
4,subject_drop,subj_3sg,1,marta horneó un pastel de chocolate .,ella trajo una porción a casa .,trajo,1,es,marta,claude-opus-4.7
4,subject_drop,subj_3sg,0,marta horneó un pastel de chocolate .,trajo una porción a casa .,trajo,0,es,marta,claude-opus-4.7
5,subject_drop,subj_3sg,1,clara terminó la novela larga .,ella recomendó el libro a todos .,recomendó,1,es,clara,claude-opus-4.7
5,subject_drop,subj_3sg,0,clara terminó la novela larga .,recomendó el libro a todos .,recomendó,0,es,clara,claude-opus-4.7
6,subject_drop,subj_3sg,1,lucía perdió su cartera otra vez .,ella llamó a cada banco local .,llamó,1,es,lucia,claude-opus-4.7
6,subject_drop,subj_3sg,0,lucía perdió su cartera otra vez .,llamó a cada banco local .,llamó,0,es,lucia,claude-opus-4.7
7,subject_drop,subj_3sg,1,sofía se mudó a la ciudad .,ella encontró un apartamento pequeño .,encontró,1,es,sofia,claude-opus-4.7
7,subject_drop,subj_3sg,0,sofía se mudó a la ciudad .,encontró un apartamento pequeño .,encontró,0,es,sofia,claude-opus-4.7
8,subject_drop,subj_3sg,1,daniel abrió una pequeña panadería .,él contrata tres ayudantes a tiempo parcial .,contrata,1,es,daniel,claude-opus-4.7
8,subject_drop,subj_3sg,0,daniel abrió una pequeña panadería .,contrata tres ayudantes a tiempo parcial .,contrata,0,es,daniel,claude-opus-4.7
9,subject_drop,subj_3sg,1,mario cogió un fuerte resfriado .,él guardó cama todo el día .,guardó,1,es,mario,claude-opus-4.7
9,subject_drop,subj_3sg,0,mario cogió un fuerte resfriado .,guardó cama todo el día .,guardó,0,es,mario,claude-opus-4.7
10,subject_drop,subj_3sg,1,pablo estudió toda la noche .,él aprobó el examen final .,aprobó,1,es,pablo,claude-opus-4.7
10,subject_drop,subj_3sg,0,pablo estudió toda la noche .,aprobó el examen final .,aprobó,0,es,pablo,claude-opus-4.7
11,subject_drop,subj_3sg,1,lucas entró en el equipo de debate .,él argumenta con mucha claridad .,argumenta,1,es,lucas,claude-opus-4.7
11,subject_drop,subj_3sg,0,lucas entró en el equipo de debate .,argumenta con mucha claridad .,argumenta,0,es,lucas,claude-opus-4.7
12,subject_drop,subj_3sg,1,marco reservó una cabaña junto al lago .,él invitó a sus dos primos .,invitó,1,es,marco,claude-opus-4.7
12,subject_drop,subj_3sg,0,marco reservó una cabaña junto al lago .,invitó a sus dos primos .,invitó,0,es,marco,claude-opus-4.7
13,subject_drop,subj_3sg,1,david adoptó un cachorro pequeño .,él llamó al perro milo .,llamó,1,es,david,claude-opus-4.7
13,subject_drop,subj_3sg,0,david adoptó un cachorro pequeño .,llamó al perro milo .,llamó,0,es,david,claude-opus-4.7
14,subject_drop,subj_3sg,1,óscar aprendió a nadar este verano .,él disfruta la piscina pública .,disfruta,1,es,oscar,claude-opus-4.7
14,subject_drop,subj_3sg,0,óscar aprendió a nadar este verano .,disfruta la piscina pública .,disfruta,0,es,oscar,claude-opus-4.7
15,subject_drop,subj_3sg,1,el coche viejo se averió .,este necesita cuatro neumáticos nuevos .,necesita,1,es,,claude-opus-4.7
15,subject_drop,subj_3sg,0,el coche viejo se averió .,necesita cuatro neumáticos nuevos .,necesita,0,es,,claude-opus-4.7
16,subject_drop,subj_3sg,1,la tetera hirvió otra vez .,esta arruinó la cocina nueva .,arruinó,1,es,,claude-opus-4.7
16,subject_drop,subj_3sg,0,la tetera hirvió otra vez .,arruinó la cocina nueva .,arruinó,0,es,,claude-opus-4.7
17,subject_drop,subj_3sg,1,la puerta crujió con fuerza .,esta despertó al bebé dormido .,despertó,1,es,,claude-opus-4.7
17,subject_drop,subj_3sg,0,la puerta crujió con fuerza .,despertó al bebé dormido .,despertó,0,es,,claude-opus-4.7
18,subject_drop,subj_3sg,1,la lámpara cayó de la repisa .,esta rompió la base pesada .,rompió,1,es,,claude-opus-4.7
18,subject_drop,subj_3sg,0,la lámpara cayó de la repisa .,rompió la base pesada .,rompió,0,es,,claude-opus-4.7
19,subject_drop,subj_3sg,1,la reunión terminó muy temprano .,esta complació a todo el personal .,complació,1,es,,claude-opus-4.7
19,subject_drop,subj_3sg,0,la reunión terminó muy temprano .,complació a todo el personal .,complació,0,es,,claude-opus-4.7
20,subject_drop,subj_3sg,1,el concierto se agotó en minutos .,este sorprendió a toda la banda .,sorprendió,1,es,,claude-opus-4.7
20,subject_drop,subj_3sg,0,el concierto se agotó en minutos .,sorprendió a toda la banda .,sorprendió,0,es,,claude-opus-4.7
21,subject_drop,subj_3sg,1,la tormenta llegó de repente .,esta inundó la carretera principal .,inundó,1,es,,claude-opus-4.7
21,subject_drop,subj_3sg,0,la tormenta llegó de repente .,inundó la carretera principal .,inundó,0,es,,claude-opus-4.7
22,subject_drop,subj_3sg,1,el partido llegó a la prórroga .,este emocionó a la afición local .,emocionó,1,es,,claude-opus-4.7
22,subject_drop,subj_3sg,0,el partido llegó a la prórroga .,emocionó a la afición local .,emocionó,0,es,,claude-opus-4.7
23,subject_drop,subj_3sg,1,el nuevo plan parecía prometedor .,este agrada a los grandes inversores .,agrada,1,es,,claude-opus-4.7
23,subject_drop,subj_3sg,0,el nuevo plan parecía prometedor .,agrada a los grandes inversores .,agrada,0,es,,claude-opus-4.7
24,subject_drop,subj_3sg,1,la idea ganó verdadero impulso .,esta inspira a muchos jóvenes escritores .,inspira,1,es,,claude-opus-4.7
24,subject_drop,subj_3sg,0,la idea ganó verdadero impulso .,inspira a muchos jóvenes escritores .,inspira,0,es,,claude-opus-4.7
1,subject_drop,subj_3pl,1,los turistas perdieron el autobús .,ellos llamaron a un taxi local .,llamaron,1,es,,claude-opus-4.7
