item_id,category,condition,pronoun_status,context,target,hotspot_token,hotspot_position,language,names,generator
25,control,obj_control,1,the patient feel very tired today .,the doctor urge the patient him to rest .,rest,7,en,,claude-opus-4.7
25,control,obj_control,0,the patient feel very tired today .,the doctor urge the patient to rest .,rest,6,en,,claude-opus-4.7
26,control,obj_control,1,the game start in ten minutes .,the coach tell the team him to warm up .,warm,7,en,,claude-opus-4.7
26,control,obj_control,0,the game start in ten minutes .,the coach tell the team to warm up .,warm,6,en,,claude-opus-4.7
27,control,obj_control,1,the class be study poetry .,the teacher ask the student him to read aloud .,read,7,en,,claude-opus-4.7
27,control,obj_control,0,the class be study poetry .,the teacher ask the student to read aloud .,read,6,en,,claude-opus-4.7
28,control,obj_control,1,dinner have vegetables on the plate .,the mother persuade the child him to eat slowly .,eat,7,en,,claude-opus-4.7
28,control,obj_control,0,dinner have vegetables on the plate .,the mother persuade the child to eat slowly .,eat,6,en,,claude-opus-4.7
29,control,obj_control,1,the hearing be run late .,the lawyer convince the client him to wait patiently .,wait,7,en,,claude-opus-4.7
29,control,obj_control,0,the hearing be run late .,the lawyer convince the client to wait patiently .,wait,6,en,,claude-opus-4.7
30,control,obj_control,1,a storm approach the ship .,the captain force the crew him to return home .,return,7,en,,claude-opus-4.7
30,control,obj_control,0,a storm approach the ship .,the captain force the crew to return home .,return,6,en,,claude-opus-4.7
31,control,obj_control,1,the museum be mostly empty .,the guard allow the visitor him to enter quietly .,enter,7,en,,claude-opus-4.7
31,control,obj_control,0,the museum be mostly empty .,the guard allow the visitor to enter quietly .,enter,6,en,,claude-opus-4.7
32,control,obj_control,1,the courtroom fall silent .,the judge order the witness him to speak clearly .,speak,7,en,,claude-opus-4.7
32,control,obj_control,0,the courtroom fall silent .,the judge order the witness to speak clearly .,speak,6,en,,claude-opus-4.7
33,control,obj_control,1,the ward be hot that afternoon .,the nurse remind the boy him to drink water .,drink,7,en,,claude-opus-4.7
33,control,obj_control,0,the ward be hot that afternoon .,the nurse remind the boy to drink water .,drink,6,en,,claude-opus-4.7
34,control,obj_control,1,the track be cold and hard .,the trainer advise the runner him to stretch first .,stretch,7,en,,claude-opus-4.7
34,control,obj_control,0,the track be cold and hard .,the trainer advise the runner to stretch first .,stretch,6,en,,claude-opus-4.7
35,control,obj_control,1,the test make her nervous .,the father encourage the girl him to try again .,try,7,en,,claude-opus-4.7
35,control,obj_control,0,the test make her nervous .,the father encourage the girl to try again .,try,6,en,,claude-opus-4.7
36,control,obj_control,1,the road be icy and dangerous .,the officer warn the driver him to slow down .,slow,7,en,,claude-opus-4.7
